state_ut,district,year,murder,attempt_to_murder,culpable_homicide_not_amounting_to_murder,rape,custodial_rape,other_rape,kidnapping_and_abduction,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,preparation_and_assembly_for_dacoity,robbery,burglary,theft,auto_theft,other_theft,riots,criminal_breach_of_trust,cheating,counterfeiting,arson,hurt_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_countries,causing_death_by_negligence,other_ipc_crimes,total_ipc_crimes,destrict,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2020,19,23,4,2,5,4,19,10,7,4,2,16,100,114,12,119,25,10,25,6,14,116,1,25,6,31,9,4,378,1110,A AND N ISLANDS,194,93,367,41
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2021,19,23,5,1,5,6,20,10,8,5,2,19,95,116,13,119,25,11,25,7,13,121,1,24,6,32,9,3,330,1073,A AND N ISLANDS,198,94,369,43
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2022,19,24,4,1,4,7,21,9,9,4,2,20,104,116,13,109,27,12,28,7,13,116,1,26,8,35,8,3,333,1083,A AND N ISLANDS,195,99,368,47
ANDAMAN AND NICOBAR ISLANDS,A and N ISLANDS,2023,20,25,3,2,4,8,21,9,12,6,1,19,109,120,11,114,28,13,29,6,13,111,3,28,9,33,8,3,359,1127,A AND N ISLANDS,195,104,380,48
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2001,13,0,0,3,0,3,2,2,0,0,0,4,62,65,4,61,13,10,8,2,4,113,0,18,1,9,0,0,310,707,ANDAMAN,142,36,196,20
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2002,14,3,0,1,0,1,2,1,1,1,0,7,47,46,2,44,11,4,11,0,2,92,0,16,3,4,0,0,316,629,ANDAMAN,121,26,147,15
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2003,16,4,1,2,0,2,2,2,0,1,0,7,56,58,3,55,19,1,13,0,7,107,0,9,2,7,0,0,299,673,ANDAMAN,149,24,180,14
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2004,13,1,2,10,0,10,3,3,0,0,0,3,67,100,9,91,9,0,11,0,8,102,0,5,3,5,0,6,373,834,ANDAMAN,143,36,270,11
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2005,14,3,3,4,0,4,2,1,1,0,0,4,67,88,6,82,4,8,13,0,6,77,0,10,1,5,0,3,354,760,ANDAMAN,108,25,247,21
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2006,3,4,1,6,0,6,5,5,0,0,0,5,81,100,6,94,10,3,15,4,9,73,0,12,4,7,0,2,311,766,ANDAMAN,99,40,286,22
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2008,8,10,2,12,0,12,16,13,3,0,0,14,72,125,11,114,16,12,19,1,15,105,2,24,3,25,0,4,374,1012,ANDAMAN,159,91,336,32
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2009,15,4,3,18,0,18,16,14,2,0,0,11,83,134,10,124,11,6,19,2,12,87,1,29,7,21,0,2,440,1089,ANDAMAN,141,108,362,27
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2010,8,7,4,23,0,23,10,8,2,1,0,7,77,116,22,94,11,10,56,0,11,77,0,31,10,9,0,9,479,1105,ANDAMAN,139,104,317,66
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2011,14,5,2,13,0,13,15,12,3,1,0,1,96,86,4,82,11,3,31,0,6,77,0,14,3,5,0,6,382,885,ANDAMAN,128,60,270,34
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2014,16,4,1,14,0,13,13,14,4,0,0,0,117,74,2,70,11,4,34,0,5,78,0,13,5,1,0,9,412,914,ANDAMAN,133,60,263,38
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2015,19,2,1,15,0,12,14,13,2,1,0,0,128,61,1,70,10,3,39,0,4,83,1,12,7,1,0,9,431,939,ANDAMAN,140,61,261,42
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2016,23,1,0,16,0,12,14,12,2,3,1,1,147,56,0,65,9,4,45,0,3,78,3,10,7,0,2,11,463,988,ANDAMAN,141,62,273,49
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2017,29,0,0,17,0,13,12,11,3,4,4,1,170,53,0,60,9,4,51,2,3,74,3,10,7,0,1,11,484,1036,ANDAMAN,143,62,292,57
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2018,31,0,0,18,0,13,13,11,1,3,3,0,189,48,0,54,8,3,58,2,3,61,3,13,8,0,2,14,510,1069,ANDAMAN,135,68,297,63
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2019,36,0,0,19,0,13,14,10,1,2,2,0,207,45,0,52,6,3,64,2,2,48,4,12,8,1,1,16,507,1075,ANDAMAN,129,68,308,69
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2020,42,0,0,21,0,15,14,9,1,1,2,0,228,41,0,46,5,2,64,3,3,45,4,13,7,2,0,20,505,1093,ANDAMAN,137,71,318,69
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2021,48,1,0,22,0,15,15,9,2,2,3,1,264,38,1,42,4,1,81,2,3,43,4,11,4,0,1,25,511,1153,ANDAMAN,147,66,351,84
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2022,56,1,1,23,1,15,14,7,3,2,1,0,283,34,2,38,4,1,93,1,4,39,5,11,5,0,1,28,545,1218,ANDAMAN,157,68,360,95
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2023,65,1,1,23,0,17,14,6,4,2,1,0,319,34,2,37,3,2,112,0,5,38,4,9,4,0,0,31,555,1289,ANDAMAN,166,63,395,114
ANDAMAN AND NICOBAR ISLANDS,CAR,2012,2,0,0,0,0,0,1,1,0,1,0,0,0,4,0,4,0,0,2,0,0,4,0,1,0,0,0,1,8,29,CAR,7,2,9,2
ANDAMAN AND NICOBAR ISLANDS,CAR,2014,1,0,0,0,1,0,1,4,0,2,0,0,1,4,0,4,0,0,3,0,0,4,0,3,0,0,0,2,9,39,CAR,7,8,11,3
ANDAMAN AND NICOBAR ISLANDS,CAR,2015,1,0,1,0,2,1,1,4,0,2,0,0,2,2,1,4,1,0,3,0,0,4,0,3,0,0,1,1,10,44,CAR,8,11,11,3
ANDAMAN AND NICOBAR ISLANDS,CAR,2016,0,1,0,0,2,2,2,4,1,1,2,0,3,1,2,5,1,0,4,0,0,4,1,2,0,0,3,1,10,52,CAR,8,14,14,4
ANDAMAN AND NICOBAR ISLANDS,CAR,2017,0,0,0,3,2,4,0,6,2,1,2,0,2,0,1,5,0,1,5,1,0,4,0,1,0,0,3,0,9,52,CAR,7,19,11,7
ANDAMAN AND NICOBAR ISLANDS,CAR,2018,0,2,0,5,0,4,0,5,1,1,0,0,2,1,2,4,0,1,5,1,0,3,0,1,1,0,2,1,10,52,CAR,11,18,10,7
ANDAMAN AND NICOBAR ISLANDS,CAR,2019,0,2,0,6,0,3,0,4,2,1,0,2,2,3,2,5,1,2,5,1,0,4,0,0,2,0,3,1,12,63,CAR,14,18,15,8
ANDAMAN AND NICOBAR ISLANDS,CAR,2020,1,1,1,4,0,2,0,5,1,2,1,3,3,3,2,4,2,2,6,1,0,5,0,1,3,0,3,3,11,70,CAR,17,18,18,9
ANDAMAN AND NICOBAR ISLANDS,CAR,2021,1,0,0,5,0,3,0,5,1,3,1,3,3,4,3,3,2,2,5,1,0,4,1,0,4,0,3,5,12,74,CAR,18,21,20,8
ANDAMAN AND NICOBAR ISLANDS,CAR,2022,1,1,0,4,1,0,2,5,3,4,1,5,5,5,3,4,2,1,4,2,1,6,1,1,4,0,3,6,9,84,CAR,21,19,27,7
ANDAMAN AND NICOBAR ISLANDS,CAR,2023,1,2,1,5,0,0,2,6,3,6,1,5,4,5,5,6,3,1,3,2,2,5,0,1,6,0,3,6,11,95,CAR,23,21,32,6
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,13,21,NICOBAR,5,1,2,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2002,3,0,1,1,0,1,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,5,0,1,0,0,0,0,12,32,NICOBAR,10,3,8,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2003,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,1,3,0,0,0,0,0,0,19,35,NICOBAR,8,0,5,2
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2004,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,1,0,1,3,0,1,0,0,0,0,14,30,NICOBAR,5,1,8,1
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2005,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,2,0,1,0,0,0,0,8,20,NICOBAR,2,1,9,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2006,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,2,0,0,0,0,11,22,NICOBAR,6,2,3,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2008,0,1,0,0,0,0,1,0,1,0,0,0,6,3,0,3,0,0,0,0,0,2,0,0,0,1,0,0,9,27,NICOBAR,3,1,12,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2009,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,11,20,NICOBAR,3,1,3,2
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2010,1,0,0,1,0,1,0,0,0,0,0,0,3,5,0,5,0,0,0,0,1,3,0,0,0,0,0,0,10,30,NICOBAR,5,2,13,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2011,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,4,0,1,0,0,0,0,10,24,NICOBAR,5,1,7,1
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2014,1,2,2,0,0,1,1,1,0,1,2,0,2,2,1,2,0,0,2,1,1,4,0,1,0,1,0,1,12,41,NICOBAR,10,4,10,3
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2015,0,0,4,0,0,0,1,1,0,2,2,2,1,2,2,1,1,1,2,1,0,8,0,2,0,1,1,0,12,47,NICOBAR,13,5,12,4
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2016,0,0,5,0,1,0,0,2,0,2,2,4,1,2,1,1,2,2,3,1,0,11,0,4,0,1,0,1,13,59,NICOBAR,19,8,13,6
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2017,0,0,6,0,3,2,0,2,0,2,2,4,2,2,1,1,3,0,3,2,0,11,0,4,0,3,0,1,14,68,NICOBAR,21,14,14,5
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2018,0,0,6,0,5,2,0,3,0,2,4,2,3,1,0,1,4,0,3,2,0,12,0,5,2,1,0,0,14,72,NICOBAR,22,18,13,5
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2019,0,0,6,2,4,3,0,2,1,1,3,2,3,0,1,1,3,0,5,1,2,14,1,6,2,1,0,0,13,77,NICOBAR,26,21,11,6
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2020,0,2,8,3,5,3,0,0,0,0,3,2,2,0,1,0,5,1,6,2,1,17,0,7,0,1,1,0,14,84,NICOBAR,35,20,8,9
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2021,0,2,10,4,5,5,1,1,0,1,4,2,2,0,1,0,6,0,8,2,1,18,0,7,1,2,1,0,14,98,NICOBAR,40,26,10,10
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2022,2,3,10,4,6,7,0,1,1,1,3,3,0,0,2,0,6,0,10,2,1,22,2,5,1,4,1,0,15,112,NICOBAR,49,31,9,12
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2023,0,2,11,4,6,7,0,2,3,2,2,4,0,2,2,1,7,0,11,1,2,25,1,6,0,6,1,0,15,123,NICOBAR,50,33,13,12
ANDAMAN AND NICOBAR ISLANDS,NORTH,2012,5,0,0,4,0,4,0,0,0,0,0,1,6,13,0,13,0,0,3,0,0,8,0,2,1,2,0,0,70,132,NORTH,17,13,33,3
ANDAMAN AND NICOBAR ISLANDS,NORTH,2014,6,0,0,3,2,3,0,0,0,0,0,2,6,13,0,12,0,1,6,1,0,8,0,1,1,2,1,1,70,139,NORTH,18,13,33,8
ANDAMAN AND NICOBAR ISLANDS,NORTH,2015,7,0,1,3,4,4,0,0,0,1,0,1,4,12,1,10,0,2,8,1,1,7,0,1,0,3,0,3,70,144,NORTH,21,15,29,11
ANDAMAN AND NICOBAR ISLANDS,NORTH,2016,9,0,0,3,5,3,0,0,0,2,0,0,3,13,1,10,2,1,9,2,2,7,0,0,1,2,2,4,70,151,NORTH,25,16,29,12
ANDAMAN AND NICOBAR ISLANDS,NORTH,2017,9,0,1,3,4,4,1,2,0,2,0,0,4,17,1,10,0,1,9,1,1,9,0,0,2,2,1,5,72,161,NORTH,27,18,34,11
ANDAMAN AND NICOBAR ISLANDS,NORTH,2018,10,0,0,2,6,4,2,3,0,3,0,0,5,17,1,11,0,2,10,1,0,9,3,0,2,3,0,5,66,165,NORTH,29,23,37,13
ANDAMAN AND NICOBAR ISLANDS,NORTH,2019,11,1,0,3,5,3,3,1,0,4,0,0,4,16,1,12,0,2,11,0,0,10,3,0,2,5,0,5,76,178,NORTH,33,22,37,13
ANDAMAN AND NICOBAR ISLANDS,NORTH,2020,10,3,0,2,4,3,4,2,0,3,0,1,5,18,0,13,1,2,12,0,0,11,2,0,0,5,0,4,76,181,NORTH,33,18,40,14
ANDAMAN AND NICOBAR ISLANDS,NORTH,2021,9,4,0,3,6,3,4,2,0,3,0,2,7,20,1,13,1,1,13,1,0,11,3,0,1,5,0,4,78,195,NORTH,35,23,46,15
ANDAMAN AND NICOBAR ISLANDS,NORTH,2022,9,5,2,4,7,2,4,1,0,4,0,1,8,21,0,13,2,1,12,1,0,10,4,1,0,4,1,5,76,198,NORTH,41,24,47,14
ANDAMAN AND NICOBAR ISLANDS,NORTH,2023,10,6,1,4,7,2,3,2,0,4,2,0,9,21,0,14,3,3,11,1,0,11,4,2,1,6,0,4,81,212,NORTH,43,28,50,15
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2012,8,3,0,8,0,8,7,6,1,4,0,1,65,54,0,54,8,5,26,1,4,50,2,14,3,3,0,5,273,613,SOUTH,84,44,178,32
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2014,9,2,0,8,0,9,8,8,2,5,0,1,69,59,1,53,7,5,25,0,4,51,2,16,3,3,0,4,282,636,SOUTH,83,49,188,30
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2015,11,2,1,11,0,6,7,9,3,7,0,2,66,61,2,53,10,5,24,0,5,50,4,15,2,4,0,4,285,649,SOUTH,93,51,191,29
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2016,11,2,1,12,0,6,9,7,3,8,1,1,67,63,2,56,10,4,24,0,7,53,5,15,2,5,0,4,265,643,SOUTH,98,52,198,28
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2017,10,2,2,12,1,7,10,9,5,9,2,0,67,65,2,60,10,5,28,0,7,53,6,15,2,5,0,5,264,663,SOUTH,100,57,205,33
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2018,9,2,1,11,0,8,10,10,5,9,2,1,73,71,3,65,9,6,29,0,8,51,8,16,3,6,0,5,293,714,SOUTH,96,62,224,35
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2019,9,2,0,12,0,8,10,11,5,10,3,2,76,75,2,71,9,7,28,1,9,54,8,16,2,6,0,6,274,716,SOUTH,100,63,239,36
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2020,12,1,2,13,0,8,9,12,4,9,3,3,74,78,4,74,10,8,31,1,8,57,7,17,3,7,0,6,261,722,SOUTH,108,67,245,40
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2021,12,1,3,13,0,8,8,14,4,8,2,1,77,75,6,75,10,8,28,1,7,62,7,16,4,8,0,6,262,726,SOUTH,114,70,244,37
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2022,14,0,4,12,0,9,9,14,5,9,1,1,79,77,8,74,10,9,30,2,7,64,8,17,4,9,0,5,256,737,SOUTH,117,73,249,41
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2023,16,0,4,13,0,9,9,17,6,9,0,1,86,74,9,79,9,8,29,4,6,67,9,17,5,9,0,5,251,751,SOUTH,123,79,258,41
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,728,TOTAL,147,37,198,20
