state_ut,district,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
ANDAMAN AND NICOBAR ISLANDS,CAR,2018,11,18,10,7,52
ANDAMAN AND NICOBAR ISLANDS,CAR,2019,14,18,15,8,63
ANDAMAN AND NICOBAR ISLANDS,CAR,2020,17,18,18,9,70
ANDAMAN AND NICOBAR ISLANDS,CAR,2021,18,21,20,8,74
ANDAMAN AND NICOBAR ISLANDS,CAR,2022,21,19,27,7,84
ANDAMAN AND NICOBAR ISLANDS,CAR,2023,23,21,32,6,95
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2001,5,1,2,0,21
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2002,10,3,8,0,32
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2003,8,0,5,2,35
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2004,5,1,8,1,30
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2005,2,1,9,0,20
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2006,6,2,3,0,22
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2008,3,1,12,0,27
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2009,3,1,3,2,20
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2010,5,2,13,0,30
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2011,5,1,7,1,24
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2014,10,4,10,3,41
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2015,13,5,12,4,47
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2016,19,8,13,6,59
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2017,21,14,14,5,68
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2018,22,18,13,5,72
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2019,26,21,11,6,77
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2020,35,20,8,9,84
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2021,40,26,10,10,98
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2022,49,31,9,12,112
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2023,50,33,13,12,123
ANDAMAN AND NICOBAR ISLANDS,NORTH,2012,17,13,33,3,132
ANDAMAN AND NICOBAR ISLANDS,NORTH,2014,18,13,33,8,139
ANDAMAN AND NICOBAR ISLANDS,NORTH,2015,21,15,29,11,144
ANDAMAN AND NICOBAR ISLANDS,NORTH,2016,25,16,29,12,151
ANDAMAN AND NICOBAR ISLANDS,NORTH,2017,27,18,34,11,161
ANDAMAN AND NICOBAR ISLANDS,NORTH,2018,29,23,37,13,165
ANDAMAN AND NICOBAR ISLANDS,NORTH,2019,33,22,37,13,178
ANDAMAN AND NICOBAR ISLANDS,NORTH,2020,33,18,40,14,181
ANDAMAN AND NICOBAR ISLANDS,NORTH,2021,35,23,46,15,195
ANDAMAN AND NICOBAR ISLANDS,NORTH,2022,41,24,47,14,198
ANDAMAN AND NICOBAR ISLANDS,NORTH,2023,43,28,50,15,212
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2012,84,44,178,32,613
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2014,83,49,188,30,636
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2015,93,51,191,29,649
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2016,98,52,198,28,643
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2017,100,57,205,33,663
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2018,96,62,224,35,714
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2019,100,63,239,36,716
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2020,108,67,245,40,722
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2021,114,70,244,37,726
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2022,117,73,249,41,737
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2023,123,79,258,41,751
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2001,147,37,198,20,728
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2002,131,29,155,15,661
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2003,157,24,185,16,708
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2004,148,37,278,12,864
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2005,110,26,256,21,780
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2006,105,42,289,22,788
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2007,159,57,328,31,934
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2008,162,92,348,32,1039
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2009,144,109,365,29,1109
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2010,144,106,330,66,1135
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2011,133,61,277,35,909
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2012,108,59,220,37,774
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2014,102,49,201,43,713
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2015,104,42,181,45,695
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2016,102,41,175,47,659
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2017,93,38,156,56,626
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2018,86,38,143,58,611
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2019,86,36,131,73,600
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2020,85,35,118,82,571
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2021,83,40,106,98,571
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2022,89,42,100,109,579
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2023,93,40,99,120,576
ANDHRA PRADESH,ADILABAD,2001,1634,504,646,121,4449
ANDHRA PRADESH,ADILABAD,2002,1739,603,692,160,4980
ANDHRA PRADESH,ADILABAD,2003,1769,515,807,166,5246
ANDHRA PRADESH,ADILABAD,2004,1896,658,702,191,5365
ANDHRA PRADESH,ADILABAD,2005,1860,674,878,190,5480
ANDHRA PRADESH,ADILABAD,2006,2149,936,1035,218,6672
ANDHRA PRADESH,ADILABAD,2007,1900,809,1186,196,6295
ANDHRA PRADESH,ADILABAD,2008,1949,763,1125,153,5818
ANDHRA PRADESH,ADILABAD,2009,1903,986,928,179,5803
ANDHRA PRADESH,ADILABAD,2010,1714,879,820,199,5360
ANDHRA PRADESH,ADILABAD,2011,2656,941,935,202,5628
ANDHRA PRADESH,ADILABAD,2012,2898,987,1002,244,6253
ANDHRA PRADESH,ADILABAD,2013,3082,980,1044,348,6884
ANDHRA PRADESH,ADILABAD,2014,3296,1023,1057,290,6653
ANDHRA PRADESH,ADILABAD,2014,3092,1051,1084,365,7193
ANDHRA PRADESH,ADILABAD,2015,3765,1064,1106,298,7144
ANDHRA PRADESH,ADILABAD,2015,3278,1047,1087,354,7310
ANDHRA PRADESH,ADILABAD,2016,3710,1095,1151,360,7178
ANDHRA PRADESH,ADILABAD,2016,3503,1074,1082,375,7628
ANDHRA PRADESH,ADILABAD,2017,4151,1157,1198,398,7635
ANDHRA PRADESH,ADILABAD,2017,3639,1083,1090,381,7913
ANDHRA PRADESH,ADILABAD,2018,4641,1180,1233,428,8141
ANDHRA PRADESH,ADILABAD,2018,3598,1138,1112,381,8019
ANDHRA PRADESH,ADILABAD,2019,5692,1217,1290,486,9308
ANDHRA PRADESH,ADILABAD,2019,3828,1152,1164,371,8242
ANDHRA PRADESH,ADILABAD,2020,6462,1203,1335,571,10147
ANDHRA PRADESH,ADILABAD,2020,3910,1162,1187,371,8394
ANDHRA PRADESH,ADILABAD,2021,7225,1281,1353,630,10931
ANDHRA PRADESH,ADILABAD,2021,4065,1159,1198,397,8588
ANDHRA PRADESH,ADILABAD,2022,8989,1353,1407,691,12817
ANDHRA PRADESH,ADILABAD,2022,4315,1178,1277,383,8903
ANDHRA PRADESH,ADILABAD,2023,9730,1399,1495,792,13754
ANDHRA PRADESH,ADILABAD,2023,4237,1227,1254,385,8901
ANDHRA PRADESH,ANANTAPUR,2001,2288,379,947,84,4567
ANDHRA PRADESH,ANANTAPUR,2002,2522,481,942,151,4916
ANDHRA PRADESH,ANANTAPUR,2003,2643,502,927,127,5019
ANDHRA PRADESH,ANANTAPUR,2004,1851,475,1135,145,4809
ANDHRA PRADESH,ANANTAPUR,2005,1786,441,1094,118,5060
ANDHRA PRADESH,ANANTAPUR,2006,2036,467,1296,112,5689
ANDHRA PRADESH,ANANTAPUR,2007,1838,481,1439,155,5903
ANDHRA PRADESH,ANANTAPUR,2008,1722,387,1244,147,6357
ANDHRA PRADESH,ANANTAPUR,2009,2054,431,1303,154,5818
ANDHRA PRADESH,ANANTAPUR,2010,2990,537,1790,251,6685
ANDHRA PRADESH,ANANTAPUR,2011,2993,521,1565,172,6174
ANDHRA PRADESH,ANANTAPUR,2012,2971,451,1394,183,6114
ANDHRA PRADESH,ANANTAPUR,2013,3525,704,1501,170,7648
ANDHRA PRADESH,ANANTAPUR,2014,3317,482,1411,214,6428
ANDHRA PRADESH,ANANTAPUR,2014,3765,728,1541,177,8036
ANDHRA PRADESH,ANANTAPUR,2015,3810,480,1429,228,6803
ANDHRA PRADESH,ANANTAPUR,2015,4038,767,1651,188,8375
ANDHRA PRADESH,ANANTAPUR,2016,4299,529,1454,272,7348
ANDHRA PRADESH,ANANTAPUR,2016,3909,746,1729,182,8277
ANDHRA PRADESH,ANANTAPUR,2017,4858,557,1510,316,7989
ANDHRA PRADESH,ANANTAPUR,2017,4048,766,1747,183,8496
ANDHRA PRADESH,ANANTAPUR,2018,5371,608,1583,374,8597
ANDHRA PRADESH,ANANTAPUR,2018,3983,815,1846,187,8670
ANDHRA PRADESH,ANANTAPUR,2019,6191,634,1683,446,9611
ANDHRA PRADESH,ANANTAPUR,2019,3873,848,1801,199,8453
ANDHRA PRADESH,ANANTAPUR,2020,6813,640,1753,517,10276
ANDHRA PRADESH,ANANTAPUR,2020,3944,867,1858,208,8653
ANDHRA PRADESH,ANANTAPUR,2021,7283,665,1864,593,10897
ANDHRA PRADESH,ANANTAPUR,2021,4051,869,1870,214,8678
ANDHRA PRADESH,ANANTAPUR,2022,8337,731,2042,673,12260
ANDHRA PRADESH,ANANTAPUR,2022,3953,883,1975,227,8779
ANDHRA PRADESH,ANANTAPUR,2023,9227,741,2275,771,13461
ANDHRA PRADESH,ANANTAPUR,2023,3854,867,1997,257,8775
ANDHRA PRADESH,CHITTOOR,2001,2849,483,1701,251,6627
ANDHRA PRADESH,CHITTOOR,2002,1766,465,1890,230,7233
ANDHRA PRADESH,CHITTOOR,2003,1886,483,2129,361,7651
ANDHRA PRADESH,CHITTOOR,2004,3413,652,2472,296,8112
ANDHRA PRADESH,CHITTOOR,2005,1708,653,2852,264,8122
ANDHRA PRADESH,CHITTOOR,2006,1889,679,2344,258,7573
ANDHRA PRADESH,CHITTOOR,2007,2054,844,2537,279,8362
ANDHRA PRADESH,CHITTOOR,2008,2062,785,2928,344,8742
ANDHRA PRADESH,CHITTOOR,2009,2033,852,2688,333,8583
ANDHRA PRADESH,CHITTOOR,2010,1664,821,1137,175,5831
ANDHRA PRADESH,CHITTOOR,2011,2625,819,1405,194,5937
ANDHRA PRADESH,CHITTOOR,2012,1406,836,1151,230,5050
ANDHRA PRADESH,CHITTOOR,2013,1719,740,1195,261,6205
ANDHRA PRADESH,CHITTOOR,2014,1347,829,1021,205,4543
ANDHRA PRADESH,CHITTOOR,2014,1827,820,1238,266,6459
ANDHRA PRADESH,CHITTOOR,2015,1237,853,929,183,4290
ANDHRA PRADESH,CHITTOOR,2015,1787,825,1231,277,6599
ANDHRA PRADESH,CHITTOOR,2016,1145,850,798,178,3904
ANDHRA PRADESH,CHITTOOR,2016,1890,816,1264,288,6803
ANDHRA PRADESH,CHITTOOR,2017,1083,858,716,164,3583
ANDHRA PRADESH,CHITTOOR,2017,1894,833,1330,313,6703
ANDHRA PRADESH,CHITTOOR,2018,1061,834,619,157,3356
ANDHRA PRADESH,CHITTOOR,2018,1956,845,1405,322,7045
ANDHRA PRADESH,CHITTOOR,2019,950,821,580,147,3084
ANDHRA PRADESH,CHITTOOR,2019,2062,863,1442,346,7318
ANDHRA PRADESH,CHITTOOR,2020,921,848,508,134,2973
ANDHRA PRADESH,CHITTOOR,2020,1932,889,1491,363,7279
ANDHRA PRADESH,CHITTOOR,2021,892,868,451,122,2814
ANDHRA PRADESH,CHITTOOR,2021,1978,926,1497,396,7359
ANDHRA PRADESH,CHITTOOR,2022,881,895,389,110,2685
ANDHRA PRADESH,CHITTOOR,2022,2069,958,1563,377,7646
ANDHRA PRADESH,CHITTOOR,2023,840,861,377,101,2524
ANDHRA PRADESH,CHITTOOR,2023,2090,932,1639,387,7773
ANDHRA PRADESH,CUDDAPAH,2001,1363,298,449,51,3358
ANDHRA PRADESH,CUDDAPAH,2002,1292,274,506,69,3572
ANDHRA PRADESH,CUDDAPAH,2003,1277,248,520,90,3693
ANDHRA PRADESH,CUDDAPAH,2004,1719,353,669,137,4435
ANDHRA PRADESH,CUDDAPAH,2005,1316,309,766,142,4426
ANDHRA PRADESH,CUDDAPAH,2006,1691,524,930,209,5768
ANDHRA PRADESH,CUDDAPAH,2007,1720,615,1015,255,6028
ANDHRA PRADESH,CUDDAPAH,2008,2039,645,1237,279,7245
ANDHRA PRADESH,CUDDAPAH,2009,1926,459,1034,241,6054
ANDHRA PRADESH,CUDDAPAH,2010,2166,647,1131,193,6284
ANDHRA PRADESH,CUDDAPAH,2011,2893,445,1322,204,6040
ANDHRA PRADESH,CUDDAPAH,2012,3224,483,1175,408,6725
ANDHRA PRADESH,CUDDAPAH,2013,3165,785,1635,403,7853
ANDHRA PRADESH,CUDDAPAH,2014,3734,517,1236,480,7334
ANDHRA PRADESH,CUDDAPAH,2014,3082,804,1755,421,8034
ANDHRA PRADESH,CUDDAPAH,2015,4140,516,1310,593,7728
ANDHRA PRADESH,CUDDAPAH,2015,3154,797,1777,454,8473
ANDHRA PRADESH,CUDDAPAH,2016,4531,508,1415,688,8244
ANDHRA PRADESH,CUDDAPAH,2016,3356,809,1791,480,8823
ANDHRA PRADESH,CUDDAPAH,2017,5268,533,1453,739,8952
ANDHRA PRADESH,CUDDAPAH,2017,3254,808,1784,522,8948
ANDHRA PRADESH,CUDDAPAH,2018,5975,579,1569,904,9968
ANDHRA PRADESH,CUDDAPAH,2018,3434,811,1823,525,9175
ANDHRA PRADESH,CUDDAPAH,2019,6043,606,1649,1066,10213
ANDHRA PRADESH,CUDDAPAH,2019,3690,828,1864,511,9309
ANDHRA PRADESH,CUDDAPAH,2020,6880,661,1724,1196,11275
ANDHRA PRADESH,CUDDAPAH,2020,3706,842,1889,539,9621
ANDHRA PRADESH,CUDDAPAH,2021,7298,687,1793,1393,11973
ANDHRA PRADESH,CUDDAPAH,2021,3944,884,1960,554,9963
ANDHRA PRADESH,CUDDAPAH,2022,8222,731,1920,1595,13232
ANDHRA PRADESH,CUDDAPAH,2022,3785,936,1982,595,10118
ANDHRA PRADESH,CUDDAPAH,2023,9132,786,2089,1850,14597
ANDHRA PRADESH,CUDDAPAH,2023,3728,998,2025,611,10429
ANDHRA PRADESH,CYBERABAD,2003,2355,867,4089,766,11927
ANDHRA PRADESH,CYBERABAD,2004,4052,900,4390,682,11717
ANDHRA PRADESH,CYBERABAD,2005,4301,1099,5834,1038,14561
ANDHRA PRADESH,CYBERABAD,2006,5390,1322,6099,1437,16791
ANDHRA PRADESH,CYBERABAD,2007,5281,1285,7136,1300,17356
ANDHRA PRADESH,CYBERABAD,2008,4966,2167,7569,1292,17475
ANDHRA PRADESH,CYBERABAD,2009,4695,1642,8148,1311,18449
ANDHRA PRADESH,CYBERABAD,2010,5088,2910,9469,1447,20608
ANDHRA PRADESH,CYBERABAD,2011,5763,2122,9332,1474,21890
ANDHRA PRADESH,CYBERABAD,2012,5577,1738,10123,1938,22673
ANDHRA PRADESH,CYBERABAD,2013,5904,2662,10980,2302,25101
ANDHRA PRADESH,CYBERABAD,2014,6109,1787,10372,2185,24052
ANDHRA PRADESH,CYBERABAD,2014,6172,2746,10948,2090,25204
ANDHRA PRADESH,CYBERABAD,2015,7006,1892,11085,2854,26640
ANDHRA PRADESH,CYBERABAD,2015,6522,2684,11513,2006,25944
ANDHRA PRADESH,CYBERABAD,2016,7277,1944,11561,3345,28519
ANDHRA PRADESH,CYBERABAD,2016,6508,2827,11711,2101,26347
ANDHRA PRADESH,CYBERABAD,2017,7651,1982,12567,3990,31073
ANDHRA PRADESH,CYBERABAD,2017,6848,2765,11216,2196,25997
ANDHRA PRADESH,CYBERABAD,2018,7870,2074,13568,4621,33074
ANDHRA PRADESH,CYBERABAD,2018,7152,2808,10966,2367,26467
ANDHRA PRADESH,CYBERABAD,2019,8865,2210,15085,4913,35941
ANDHRA PRADESH,CYBERABAD,2019,7226,2897,11164,2166,26707
ANDHRA PRADESH,CYBERABAD,2020,9604,2417,15390,5924,38486
ANDHRA PRADESH,CYBERABAD,2020,7727,2848,11492,2231,27355
ANDHRA PRADESH,CYBERABAD,2021,10781,2560,16681,6885,42904
ANDHRA PRADESH,CYBERABAD,2021,7456,2987,11735,2404,27863
ANDHRA PRADESH,CYBERABAD,2022,12179,2615,18282,7866,47283
ANDHRA PRADESH,CYBERABAD,2022,7470,3152,12308,2351,28570
ANDHRA PRADESH,CYBERABAD,2023,12860,2710,19474,9278,50973
ANDHRA PRADESH,CYBERABAD,2023,7209,3097,12596,2367,28815
ANDHRA PRADESH,EAST GODAVARI,2001,1930,498,2508,273,7600
ANDHRA PRADESH,EAST GODAVARI,2002,3886,523,2895,364,9217
ANDHRA PRADESH,EAST GODAVARI,2003,3603,699,2914,356,8855
ANDHRA PRADESH,EAST GODAVARI,2004,3843,608,2624,349,8925
ANDHRA PRADESH,EAST GODAVARI,2005,3455,661,3006,408,9644
ANDHRA PRADESH,EAST GODAVARI,2006,4424,880,3324,453,10563
ANDHRA PRADESH,EAST GODAVARI,2007,3520,994,3170,414,10055
ANDHRA PRADESH,EAST GODAVARI,2008,4128,1020,2822,473,9763
ANDHRA PRADESH,EAST GODAVARI,2009,4039,991,2726,434,9907
ANDHRA PRADESH,EAST GODAVARI,2010,2937,809,2004,357,7302
ANDHRA PRADESH,EAST GODAVARI,2011,3107,1187,2333,391,8243
ANDHRA PRADESH,EAST GODAVARI,2012,3067,1143,2084,302,7931
ANDHRA PRADESH,EAST GODAVARI,2013,3109,1253,1920,315,7704
ANDHRA PRADESH,EAST GODAVARI,2014,2855,1173,2015,283,7506
ANDHRA PRADESH,EAST GODAVARI,2014,3317,1287,1933,320,8021
ANDHRA PRADESH,EAST GODAVARI,2015,2589,1206,1866,265,6964
ANDHRA PRADESH,EAST GODAVARI,2015,3601,1292,1915,316,8352
ANDHRA PRADESH,EAST GODAVARI,2016,2365,1303,1781,264,6591
ANDHRA PRADESH,EAST GODAVARI,2016,3884,1362,1913,316,8736
ANDHRA PRADESH,EAST GODAVARI,2017,2382,1407,1650,223,6485
ANDHRA PRADESH,EAST GODAVARI,2017,4102,1395,1889,315,8934
ANDHRA PRADESH,EAST GODAVARI,2018,2247,1545,1549,192,6230
ANDHRA PRADESH,EAST GODAVARI,2018,4062,1362,2034,319,8989
ANDHRA PRADESH,EAST GODAVARI,2019,2068,1624,1343,172,5861
ANDHRA PRADESH,EAST GODAVARI,2019,3916,1426,2165,340,9075
ANDHRA PRADESH,EAST GODAVARI,2020,1978,1740,1240,152,5726
ANDHRA PRADESH,EAST GODAVARI,2020,4064,1490,2217,365,9450
ANDHRA PRADESH,EAST GODAVARI,2021,1915,1839,1124,129,5519
ANDHRA PRADESH,EAST GODAVARI,2021,4185,1501,2217,383,9644
ANDHRA PRADESH,EAST GODAVARI,2022,1815,2004,1047,122,5434
ANDHRA PRADESH,EAST GODAVARI,2022,4192,1510,2324,401,9861
ANDHRA PRADESH,EAST GODAVARI,2023,1674,2175,969,107,5300
ANDHRA PRADESH,EAST GODAVARI,2023,4225,1576,2308,394,10047
ANDHRA PRADESH,GUNTAKAL RLY.,2001,10,1,331,3,449
ANDHRA PRADESH,GUNTAKAL RLY.,2002,10,5,298,5,459
ANDHRA PRADESH,GUNTAKAL RLY.,2003,16,5,423,6,579
ANDHRA PRADESH,GUNTAKAL RLY.,2004,18,1,356,7,515
ANDHRA PRADESH,GUNTAKAL RLY.,2005,23,6,263,5,355
ANDHRA PRADESH,GUNTAKAL RLY.,2006,17,7,289,6,362
ANDHRA PRADESH,GUNTAKAL RLY.,2007,13,8,242,5,296
ANDHRA PRADESH,GUNTAKAL RLY.,2008,16,6,245,12,293
ANDHRA PRADESH,GUNTAKAL RLY.,2009,15,4,338,4,383
ANDHRA PRADESH,GUNTAKAL RLY.,2010,16,6,444,5,512
ANDHRA PRADESH,GUNTAKAL RLY.,2011,20,4,459,17,524
ANDHRA PRADESH,GUNTAKAL RLY.,2012,23,7,540,14,609
ANDHRA PRADESH,GUNTAKAL RLY.,2013,13,5,502,7,552
ANDHRA PRADESH,GUNTAKAL RLY.,2014,23,5,621,16,687
ANDHRA PRADESH,GUNTAKAL RLY.,2014,12,7,542,7,597
ANDHRA PRADESH,GUNTAKAL RLY.,2015,26,7,692,20,768
ANDHRA PRADESH,GUNTAKAL RLY.,2015,16,11,539,7,602
ANDHRA PRADESH,GUNTAKAL RLY.,2016,29,9,783,22,865
ANDHRA PRADESH,GUNTAKAL RLY.,2016,19,17,563,8,638
ANDHRA PRADESH,GUNTAKAL RLY.,2017,30,14,864,25,956
ANDHRA PRADESH,GUNTAKAL RLY.,2017,20,16,578,8,654
ANDHRA PRADESH,GUNTAKAL RLY.,2018,34,19,989,29,1096
ANDHRA PRADESH,GUNTAKAL RLY.,2018,19,16,611,8,689
