state_ut,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
CHANDIGARH,2003,364,346,5392,486,8188
CHANDIGARH,2004,378,396,6224,324,8842
CHANDIGARH,2005,364,458,5966,404,9186
CHANDIGARH,2006,366,480,5390,588,8888
CHANDIGARH,2007,496,492,7420,420,10914
CHANDIGARH,2008,486,310,8534,500,11984
CHANDIGARH,2009,430,350,7474,470,10710
CHANDIGARH,2010,464,338,6552,378,9846
CHANDIGARH,2011,434,362,6730,560,10258
CHANDIGARH,2012,392,536,6816,540,10538
CHANDIGARH,2013,480,1052,6740,620,11804
CHANDIGARH,2014,881,1674,13660,1203,23000
CHANDIGARH,2015,897,1767,14121,1239,23776
CHANDIGARH,2016,913,1863,13826,1322,23952
CHANDIGARH,2017,950,2019,13651,1402,24223
CHANDIGARH,2018,974,2174,13821,1450,24849
CHANDIGARH,2019,1025,2354,14005,1493,25365
CHANDIGARH,2020,1061,2541,13762,1541,25546
CHANDIGARH,2021,1113,2806,14035,1535,26048
CHANDIGARH,2022,1160,3048,14277,1582,26860
CHANDIGARH,2023,1221,3304,14765,1633,27897
CHHATTISGARH,2001,19040,9846,28424,1128,88876
CHHATTISGARH,2002,17324,9012,25622,1014,86844
CHHATTISGARH,2003,15662,8422,24892,1024,87388
CHHATTISGARH,2004,18034,9432,28450,1134,96248
CHHATTISGARH,2005,18870,9156,30902,1228,100938
CHHATTISGARH,2006,25804,9460,29308,1354,103346
CHHATTISGARH,2007,26220,9458,29898,1362,104904
CHHATTISGARH,2008,31032,9842,33822,1604,117544
CHHATTISGARH,2009,32346,9904,32526,1832,116848
CHHATTISGARH,2010,34330,10338,32020,2136,124268
CHHATTISGARH,2011,35874,10478,29446,2450,128116
CHHATTISGARH,2012,34770,10484,28992,2296,122846
CHHATTISGARH,2013,35282,16746,28616,2304,131348
CHHATTISGARH,2014,72521,27979,57831,4805,263203
CHHATTISGARH,2015,73634,28585,57887,5131,268298
CHHATTISGARH,2016,75729,29054,57839,5566,269996
CHHATTISGARH,2017,75106,29671,58513,5856,276795
CHHATTISGARH,2018,77462,30120,59070,6301,286288
CHHATTISGARH,2019,79269,31309,59444,6654,293705
CHHATTISGARH,2020,79851,32406,59673,7009,300724
CHHATTISGARH,2021,82360,33566,59565,7569,309076
CHHATTISGARH,2022,84532,34529,59913,7961,320429
CHHATTISGARH,2023,85889,35716,60327,8668,331255
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2001,200,64,498,82,1378
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2002,192,48,726,74,1514
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2003,246,54,622,90,1456
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2004,296,72,442,86,1418
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2005,308,80,638,84,1650
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2006,312,98,736,114,1754
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2007,398,60,688,90,1666
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2008,334,80,614,84,1558
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2009,414,66,598,106,1678
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2010,310,82,566,80,1430
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2011,340,54,608,90,1458
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2012,296,60,604,56,1408
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2013,164,52,204,46,610
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2014,489,137,862,105,2100
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015,525,159,914,99,2179
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,534,176,962,104,2241
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,552,193,1035,112,2334
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,575,220,1095,111,2438
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2019,616,234,1170,120,2579
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2020,650,259,1284,121,2756
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2021,684,283,1399,128,2951
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2022,725,303,1526,147,3188
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2023,770,320,1636,171,3401
DANDN HAVELI,2013,98,48,276,24,780
DANDN HAVELI,2014,101,53,280,27,820
DANDN HAVELI,2015,103,56,296,27,848
DANDN HAVELI,2016,108,55,305,30,889
DANDN HAVELI,2017,112,57,318,28,922
DANDN HAVELI,2018,113,56,333,30,966
DANDN HAVELI,2019,113,53,358,35,1016
DANDN HAVELI,2020,120,54,365,35,1035
DANDN HAVELI,2021,121,58,380,36,1035
DANDN HAVELI,2022,124,64,382,36,1045
DANDN HAVELI,2023,130,72,386,37,1054
DELHI,2001,8444,5138,84654,5408,151336
DELHI,2002,7966,5086,72452,5176,134976
DELHI,2003,7534,7424,67124,5106,129188
DELHI,2004,8074,8188,80978,5622,148754
DELHI,2005,8534,9696,77394,5616,152536
DELHI,2006,8186,10078,75402,5594,155052
DELHI,2007,7860,10646,73898,5656,150776
DELHI,2008,8674,8650,80718,3778,140500
DELHI,2009,8912,9374,91630,4760,149974
DELHI,2010,8978,9964,96680,4302,156190
DELHI,2011,9756,11530,95674,5942,161182
DELHI,2012,9242,13252,92856,5786,161990
DELHI,2013,13212,28978,128730,6704,236476
DELHI,2014,24958,46645,237455,14428,435890
DELHI,2015,25742,49547,240290,15205,445113
DELHI,2016,26496,52459,249571,16200,465180
DELHI,2017,27562,55778,251564,17095,477161
DELHI,2018,28010,58693,257465,18330,492757
DELHI,2019,29163,63042,260791,19587,510980
DELHI,2020,30545,68510,265565,20692,532542
DELHI,2021,32255,73872,267609,22692,550891
DELHI,2022,33625,79698,271361,24013,572635
DELHI,2023,35304,85875,274234,25060,592948
GOA,2001,1028,134,3086,206,5876
GOA,2002,1170,126,2794,216,5914
GOA,2003,1014,254,2422,338,5506
GOA,2004,1018,282,2580,220,5360
GOA,2005,992,206,2570,228,5302
GOA,2006,1088,182,2528,198,5470
GOA,2007,1104,180,2618,202,6010
GOA,2008,1268,292,3060,348,6818
GOA,2009,1198,374,4088,422,7886
GOA,2010,1198,320,4954,414,8776
GOA,2011,1316,270,5152,436,9242
GOA,2012,1518,430,4434,570,9204
GOA,2013,1706,996,5418,620,11288
GOA,2014,3421,1517,10058,1267,21286
GOA,2015,3641,1568,10433,1343,22257
GOA,2016,3944,1669,10637,1429,23112
GOA,2017,4199,1727,10930,1533,24077
GOA,2018,4409,1778,11475,1654,25265
GOA,2019,4616,1834,11805,1777,26260
GOA,2020,4788,1941,12457,1908,27680
GOA,2021,5046,2066,12851,2074,28905
GOA,2022,5464,2165,13659,2205,30848
GOA,2023,5958,2293,14139,2375,32872
GUJARAT,2001,41648,12060,76294,7164,241074
GUJARAT,2002,46174,11156,77450,5776,247398
GUJARAT,2003,39764,11766,92142,8246,248586
GUJARAT,2004,39650,13034,88882,6920,250984
GUJARAT,2005,36270,13216,85046,6716,265732
GUJARAT,2006,37244,15108,87504,5942,281858
GUJARAT,2007,39054,17064,85096,5082,285974
GUJARAT,2008,39338,17876,96150,5048,292440
GUJARAT,2009,36296,16798,91006,5016,273266
GUJARAT,2010,39284,17006,78494,4942,270176
GUJARAT,2011,39434,18360,76416,5988,282934
GUJARAT,2012,39570,19980,76542,5634,296532
GUJARAT,2013,40054,25710,74682,5280,352292
GUJARAT,2014,81435,48212,153833,11576,667528
GUJARAT,2015,85040,50123,154229,12094,696515
GUJARAT,2016,87007,52475,154134,12559,725166
GUJARAT,2017,88837,54124,154436,13270,741533
GUJARAT,2018,93367,56173,155251,14174,758513
GUJARAT,2019,97779,58900,155146,15102,779906
GUJARAT,2020,100616,62385,156765,15755,806808
GUJARAT,2021,105489,66545,158494,16978,838354
GUJARAT,2022,109891,69857,164008,18207,875452
GUJARAT,2023,112745,75245,168031,19242,923366
HARYANA,2001,16718,7540,31916,3218,91446
HARYANA,2002,16244,9422,31050,3088,93804
HARYANA,2003,15124,8926,29394,3032,89888
HARYANA,2004,15500,9188,32686,3310,92926
HARYANA,2005,17156,9060,42882,3594,104622
HARYANA,2006,20014,10266,51550,4418,124540
HARYANA,2007,20162,10074,54464,3982,127866
HARYANA,2008,19146,11366,61198,3906,139076
HARYANA,2009,18584,11638,62080,4536,141330
HARYANA,2010,19300,12428,76212,5220,154138
HARYANA,2011,18710,12316,81684,5182,159716
HARYANA,2012,18160,13180,82800,5116,164174
HARYANA,2013,24050,19968,88766,5520,188922
HARYANA,2014,44272,35514,184994,11157,372221
HARYANA,2015,44725,36364,197320,11487,388277
HARYANA,2016,44849,37769,210745,11884,404624
HARYANA,2017,46333,39601,228125,12348,427208
HARYANA,2018,46808,41011,242673,12912,444501
HARYANA,2019,47508,43443,258641,13785,464579
HARYANA,2020,48918,46167,277010,14768,491145
HARYANA,2021,50630,48548,298008,15615,518736
HARYANA,2022,52829,51242,321790,16387,549769
HARYANA,2023,55186,53788,349454,17777,585878
HIMACHAL PRADESH,2001,5706,2008,4152,434,24698
HIMACHAL PRADESH,2002,5924,1936,3714,424,26164
HIMACHAL PRADESH,2003,5588,1686,3976,392,25754
HIMACHAL PRADESH,2004,5624,1930,4156,554,26490
HIMACHAL PRADESH,2005,5502,1858,4232,502,26600
HIMACHAL PRADESH,2006,5302,1806,4828,540,28296
HIMACHAL PRADESH,2007,5848,2346,6178,710,31288
HIMACHAL PRADESH,2008,5446,2266,6430,792,30872
HIMACHAL PRADESH,2009,5664,2256,4910,766,28942
HIMACHAL PRADESH,2010,5958,2374,4864,864,28482
HIMACHAL PRADESH,2011,5404,2326,6180,1012,31468
HIMACHAL PRADESH,2012,5178,2178,4954,1022,27362
HIMACHAL PRADESH,2013,5346,3444,5192,1238,30340
HIMACHAL PRADESH,2014,10662,5783,10199,2421,57794
HIMACHAL PRADESH,2015,10832,5967,10520,2578,59309
HIMACHAL PRADESH,2016,11074,6099,10816,2768,60619
HIMACHAL PRADESH,2017,11187,6254,10941,2992,61291
HIMACHAL PRADESH,2018,11541,6567,11435,3210,61879
HIMACHAL PRADESH,2019,11923,6766,11979,3459,63499
HIMACHAL PRADESH,2020,11858,6965,12453,3775,64672
HIMACHAL PRADESH,2021,12080,7278,13164,4094,65735
HIMACHAL PRADESH,2022,12539,7633,13689,4448,68603
HIMACHAL PRADESH,2023,12768,7944,14506,4855,70475
JAMMU AND KASHMIR,2001,9022,3630,10736,992,44398
JAMMU AND KASHMIR,2002,8542,4410,11132,986,45706
JAMMU AND KASHMIR,2003,8500,4738,11202,1090,48210
JAMMU AND KASHMIR,2004,8112,4826,10910,1102,48166
JAMMU AND KASHMIR,2005,7668,4684,10656,1098,45930
JAMMU AND KASHMIR,2006,6872,5350,10694,1242,47526
JAMMU AND KASHMIR,2007,6266,5614,11522,1282,49150
JAMMU AND KASHMIR,2008,6852,5016,11626,1004,47450
JAMMU AND KASHMIR,2009,6752,5700,13796,1288,51432
JAMMU AND KASHMIR,2010,8298,5700,12986,1182,53748
JAMMU AND KASHMIR,2011,6032,6836,13856,1692,57026
JAMMU AND KASHMIR,2012,6110,7250,11052,1584,56052
JAMMU AND KASHMIR,2013,6962,7766,10408,1542,57226
JAMMU AND KASHMIR,2014,13652,15999,21789,3433,119362
JAMMU AND KASHMIR,2015,14118,16973,21717,3794,125568
JAMMU AND KASHMIR,2016,14482,18102,21497,4077,133421
JAMMU AND KASHMIR,2017,14744,19346,21457,4308,140757
JAMMU AND KASHMIR,2018,15117,20450,21930,4581,148508
JAMMU AND KASHMIR,2019,15430,21600,22255,4955,155443
JAMMU AND KASHMIR,2020,16086,23014,22441,5327,163236
JAMMU AND KASHMIR,2021,16635,24483,22983,5689,171513
JAMMU AND KASHMIR,2022,17229,26509,23817,6041,183783
JAMMU AND KASHMIR,2023,17909,28484,24403,6625,195896
JHARKHAND,2001,15984,4836,20502,1720,60564
JHARKHAND,2002,17618,6170,23164,1560,74156
JHARKHAND,2003,19414,5866,22762,1498,75114
JHARKHAND,2004,17618,6170,23164,1560,74156
JHARKHAND,2005,21592,5938,30746,1810,85488
JHARKHAND,2006,21212,6840,30268,2372,87942
JHARKHAND,2007,22620,7410,34024,2562,94394
JHARKHAND,2008,21278,7062,34280,2386,95076
JHARKHAND,2009,24300,6650,36138,2796,93396
JHARKHAND,2010,24622,6874,33200,3018,95460
JHARKHAND,2011,23756,6998,29908,2752,87882
JHARKHAND,2012,24904,8540,30774,4438,98988
JHARKHAND,2013,28494,12538,31680,6936,115044
JHARKHAND,2014,55413,21994,63059,12289,221987
JHARKHAND,2015,57371,23347,63096,13248,229019
JHARKHAND,2016,59192,24401,63880,14299,239040
JHARKHAND,2017,61573,26184,65420,15271,251207
JHARKHAND,2018,64741,27954,66293,16970,266216
JHARKHAND,2019,67153,29767,68305,18509,277967
JHARKHAND,2020,69813,31799,69749,20035,290322
JHARKHAND,2021,73774,34357,71921,21433,310175
JHARKHAND,2022,78117,36534,73764,23417,328527
JHARKHAND,2023,82333,39803,76481,24973,347707
KARNATAKA,2001,67518,9156,66382,6606,245636
KARNATAKA,2002,67194,9382,70664,6848,256908
KARNATAKA,2003,62378,8906,71122,6746,254874
KARNATAKA,2004,62518,8414,79178,6494,262832
KARNATAKA,2005,61952,9596,83062,6952,271040
KARNATAKA,2006,60056,10444,75134,7040,267148
KARNATAKA,2007,57582,11752,71768,8248,272146
KARNATAKA,2008,59406,12386,88062,8422,293128
KARNATAKA,2009,61904,14254,100450,11422,312038
KARNATAKA,2010,69198,16148,97532,12398,328750
KARNATAKA,2011,67910,17334,97080,12790,318930
KARNATAKA,2012,66842,18648,91164,12614,309022
KARNATAKA,2013,68472,22044,96914,14282,318622
KARNATAKA,2014,138312,43464,188483,26878,639058
KARNATAKA,2015,139180,45465,193921,27395,647428
KARNATAKA,2016,142828,48353,190449,28926,649504
KARNATAKA,2017,148296,51114,192650,30709,663634
KARNATAKA,2018,155427,54954,191581,30338,672963
KARNATAKA,2019,159898,59509,191627,31050,687197
KARNATAKA,2020,164657,63842,195183,32328,704496
KARNATAKA,2021,168752,67649,197495,33562,718585
KARNATAKA,2022,176515,72671,201850,35593,740189
KARNATAKA,2023,183494,77717,203128,36712,766915
KERALA,2001,59448,11664,32124,6846,220066
KERALA,2002,57794,12334,33722,6832,221208
KERALA,2003,52364,11736,29972,7026,208596
KERALA,2004,57810,13496,31686,8380,219954
KERALA,2005,52374,13806,31814,7402,221016
KERALA,2006,53944,15804,32104,7366,223162
KERALA,2007,55584,16226,32930,9326,229812
KERALA,2008,57524,16948,33384,8280,234518
KERALA,2009,55680,16542,31780,7628,249514
KERALA,2010,57538,19488,24746,7956,307176
KERALA,2011,69408,24412,26932,11102,356544
KERALA,2012,68370,23466,23904,10100,328734
KERALA,2013,66022,24468,24396,10518,363772
KERALA,2014,155046,54175,57273,23311,799410
KERALA,2015,160815,58326,57226,24558,835194
KERALA,2016,169103,61935,57887,25618,894758
KERALA,2017,177889,65835,59234,27475,956779
KERALA,2018,184848,70392,59926,28958,1022958
KERALA,2019,197187,76218,60720,31093,1117609
KERALA,2020,209069,81751,62142,33478,1208790
KERALA,2021,217784,88828,64130,36826,1293008
KERALA,2022,229040,96004,66333,39644,1426484
KERALA,2023,245125,103381,69170,42586,1548056
LAKSHADWEEP,2001,10,0,42,2,92
LAKSHADWEEP,2002,48,6,66,0,132
LAKSHADWEEP,2003,14,12,44,0,82
LAKSHADWEEP,2004,86,2,24,2,150
LAKSHADWEEP,2005,22,0,32,0,98
LAKSHADWEEP,2006,38,2,72,0,194
LAKSHADWEEP,2007,8,12,84,0,154
LAKSHADWEEP,2008,54,12,38,0,212
LAKSHADWEEP,2009,120,4,48,0,290
LAKSHADWEEP,2010,8,0,30,0,94
LAKSHADWEEP,2011,18,0,16,2,96
LAKSHADWEEP,2012,26,4,34,0,134
LAKSHADWEEP,2013,18,10,36,2,100
LAKSHADWEEP,2014,49,17,70,5,247
LAKSHADWEEP,2015,49,28,73,8,267
LAKSHADWEEP,2016,54,40,82,14,296
LAKSHADWEEP,2017,65,46,93,19,322
LAKSHADWEEP,2018,72,55,98,25,354
LAKSHADWEEP,2019,78,66,101,25,378
LAKSHADWEEP,2020,72,70,112,28,390
LAKSHADWEEP,2021,74,77,119,25,405
LAKSHADWEEP,2022,80,76,122,24,415
LAKSHADWEEP,2023,87,76,129,31,441
MADHYA PRADESH,2001,92934,34710,112270,3826,411622
MADHYA PRADESH,2002,91660,36226,113938,3602,432826
MADHYA PRADESH,2003,88188,34446,111200,3618,430250
MADHYA PRADESH,2004,97458,36030,118574,3742,446320
MADHYA PRADESH,2005,99360,34790,108792,3912,427250
MADHYA PRADESH,2006,100642,34350,112936,4158,440304
MADHYA PRADESH,2007,107238,36618,116498,4460,457428
MADHYA PRADESH,2008,107340,35606,125512,3970,470010
MADHYA PRADESH,2009,109406,37428,119448,4864,470112
MADHYA PRADESH,2010,115374,39034,110380,4638,480336
MADHYA PRADESH,2011,108952,39830,114490,4858,488404
MADHYA PRADESH,2012,108416,40286,117114,5256,496488
MADHYA PRADESH,2013,109876,52604,126450,4318,520374
MADHYA PRADESH,2014,223957,95889,247745,9981,1048385
MADHYA PRADESH,2015,230800,99242,252944,10333,1079689
MADHYA PRADESH,2016,231696,102597,257949,10728,1118379
MADHYA PRADESH,2017,235571,106259,265743,11217,1162116
MADHYA PRADESH,2018,237004,110391,272313,11928,1195414
MADHYA PRADESH,2019,241488,113807,280728,12463,1247133
MADHYA PRADESH,2020,249705,118555,288883,12871,1299625
MADHYA PRADESH,2021,256948,124037,294490,13632,1329272
MADHYA PRADESH,2022,266932,129259,302640,14471,1399534
MADHYA PRADESH,2023,278491,136975,312714,15528,1465714
MAHARASHTRA,2001,103856,27114,195802,12160,426772
MAHARASHTRA,2002,101936,24930,185276,11578,410746
MAHARASHTRA,2003,100460,24650,181894,13654,407196
MAHARASHTRA,2004,103304,26432,211472,13826,445374
MAHARASHTRA,2005,105246,29324,225352,16992,473234
MAHARASHTRA,2006,108232,31020,224766,16554,482044
MAHARASHTRA,2007,111738,32012,229720,16440,492302
MAHARASHTRA,2008,116586,34086,251680,19162,524080
MAHARASHTRA,2009,110540,32418,244164,20698,506594
MAHARASHTRA,2010,116860,33980,253062,22042,527680
MAHARASHTRA,2011,116912,33988,257048,22664,523442
MAHARASHTRA,2012,115564,35582,237328,23178,507196
MAHARASHTRA,2013,123014,55252,269020,25326,585516
MAHARASHTRA,2014,249524,95002,540832,54741,1158474
MAHARASHTRA,2015,256650,97232,545234,57916,1181319
MAHARASHTRA,2016,263042,100626,558248,59922,1208545
MAHARASHTRA,2017,269626,103892,562376,61691,1231465
MAHARASHTRA,2018,277214,108823,568110,64654,1259626
MAHARASHTRA,2019,285095,112041,582129,69144,1287714
MAHARASHTRA,2020,295297,116644,592819,72368,1319972
MAHARASHTRA,2021,304657,120691,603866,76222,1355253
MAHARASHTRA,2022,310291,126325,628114,81659,1406155
MAHARASHTRA,2023,320100,133976,651544,85050,1460036
MANIPUR,2001,1482,256,1130,238,5640
MANIPUR,2002,1618,356,1142,224,6020
MANIPUR,2003,1548,310,1162,198,5854
MANIPUR,2004,1606,330,1122,342,5876
MANIPUR,2005,1744,328,1120,368,6574
MANIPUR,2006,1746,422,1344,262,6688
MANIPUR,2007,2174,416,2276,232,7766
MANIPUR,2008,2158,498,2376,376,8018
MANIPUR,2009,1828,450,2096,234,6872
MANIPUR,2010,1356,448,2196,180,6730
MANIPUR,2011,1490,600,3304,360,8318
MANIPUR,2012,1836,704,4082,410,9852
MANIPUR,2013,1344,714,3864,396,8570
MANIPUR,2014,3758,1669,9033,993,21664
MANIPUR,2015,3858,1837,9948,1122,23282
MANIPUR,2016,4056,2036,10965,1252,25136
MANIPUR,2017,4305,2281,11891,1379,27036
MANIPUR,2018,4613,2491,13120,1517,29300
MANIPUR,2019,4861,2706,14446,1636,31565
MANIPUR,2020,5206,2952,15861,1846,34414
MANIPUR,2021,5472,3211,17486,2123,37491
MANIPUR,2022,5811,3557,19449,2370,40980
MANIPUR,2023,6175,3941,21600,2658,44873
MEGHALAYA,2001,698,184,1874,102,4078
MEGHALAYA,2002,752,218,2226,100,4292
MEGHALAYA,2003,888,216,2194,100,4236
MEGHALAYA,2004,810,334,2304,142,4556
