,report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
78,79,2020-05-01 20:00:00,2020-01-04 06:00:00,05-01-20 3:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,0,,Adult
79,80,2020-07-01 03:00:00,2020-01-04 07:00:00,04-01-20 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,UNKNOWN,Violent Crime,15,Yes,2020-01-15 03:00:00,1,-168.0,Middle Aged
80,81,2020-05-01 03:00:00,2020-01-04 08:00:00,04-01-20 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-04-03 03:00:00,1,-28.0,Senior
81,82,2020-06-01 05:00:00,2020-01-04 09:00:00,04-01-20 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,0,,Minor
82,83,2020-06-01 12:00:00,2020-01-04 10:00:00,05-01-20 9:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21 12:00:00,1,-72.0,Young Adult
83,84,2020-04-01 19:00:00,2020-01-04 11:00:00,05-01-20 6:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20 19:00:00,1,-72.0,Senior
86,87,2020-07-01 06:00:00,2020-01-04 14:00:00,04-01-20 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18 06:00:00,1,-165.0,Young Adult
87,88,2020-07-01 03:00:00,2020-01-04 15:00:00,04-01-20 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,0,,Minor
88,89,2020-06-01 22:00:00,2020-01-04 16:00:00,04-01-20 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,0,,Minor
89,90,2020-06-01 18:00:00,2020-01-04 17:00:00,05-01-20 6:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,0,,Senior
90,91,2020-05-01 04:00:00,2020-01-04 18:00:00,05-01-20 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,0,,Senior
91,92,2020-04-01 20:00:00,2020-01-04 19:00:00,05-01-20 9:21,Jaipur,510,CYBERCRIME,60,F,UNKNOWN,Other Crime,7,No,,0,,Middle Aged
93,94,2020-06-01 21:00:00,2020-01-04 21:00:00,05-01-20 8:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,0,,Adult
95,96,2020-06-01 08:00:00,2020-01-04 23:00:00,05-01-20 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,0,,Middle Aged
96,97,2020-06-01 02:00:00,2020-01-05 00:00:00,05-01-20 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-12-02 02:00:00,1,184.0,Young Adult
98,99,2020-06-01 23:00:00,2020-01-05 02:00:00,05-01-20 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23 23:00:00,1,-130.0,Senior
99,100,2020-06-01 20:00:00,2020-01-05 03:00:00,05-01-20 6:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22 20:00:00,1,-131.0,Minor
100,101,2020-06-01 23:00:00,2020-01-05 04:00:00,05-01-20 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00:00,1,-139.0,Middle Aged
101,102,2020-05-01 16:00:00,2020-01-05 05:00:00,05-01-20 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,0,,Senior
102,103,2020-07-01 00:00:00,2020-01-05 06:00:00,05-01-20 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,0,,Adult
103,104,2020-07-01 16:00:00,2020-01-05 07:00:00,05-01-20 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19 16:00:00,1,-133.0,Adult
104,105,2020-06-01 23:00:00,2020-01-05 08:00:00,05-01-20 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,0,,Adult
105,106,2020-06-01 00:00:00,2020-01-05 09:00:00,05-01-20 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,UNKNOWN,Violent Crime,12,Yes,2020-02-22 00:00:00,1,-100.0,Senior
106,107,2020-05-01 11:00:00,2020-01-05 10:00:00,05-01-20 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,0,,Minor
107,108,2020-07-01 12:00:00,2020-01-05 11:00:00,06-01-20 9:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-09-02 12:00:00,1,63.0,Young Adult
108,109,2020-07-01 20:00:00,2020-01-05 12:00:00,06-01-20 0:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,0,,Middle Aged
109,110,2020-05-01 17:00:00,2020-01-05 13:00:00,05-01-20 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,0,,Minor
110,111,2020-07-01 04:00:00,2020-01-05 14:00:00,05-01-20 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16 04:00:00,1,-136.0,Middle Aged
111,112,2020-08-01 05:00:00,2020-01-05 15:00:00,06-01-20 7:02,Delhi,183,COUNTERFEITING,37,F,UNKNOWN,Other Crime,6,No,,0,,Adult
112,113,2020-07-01 09:00:00,2020-01-05 16:00:00,06-01-20 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-08-11 09:00:00,1,406.0,Middle Aged
114,115,2020-07-01 13:00:00,2020-01-05 18:00:00,06-01-20 8:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-03-02 13:00:00,1,-121.0,Middle Aged
115,116,2020-05-01 20:00:00,2020-01-05 19:00:00,06-01-20 6:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,0,,Senior
120,121,2020-07-01 14:00:00,2020-01-06 00:00:00,06-01-20 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22 14:00:00,1,-161.0,Senior
121,122,2020-08-01 19:00:00,2020-01-06 01:00:00,06-01-20 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-06-04 19:00:00,1,-58.0,Young Adult
122,123,2020-06-01 04:00:00,2020-01-06 02:00:00,07-01-20 0:00,Bhopal,432,VANDALISM,60,F,UNKNOWN,Other Crime,4,No,,0,,Middle Aged
123,124,2020-08-01 23:00:00,2020-01-06 03:00:00,06-01-20 6:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,0,,Adult
125,126,2020-09-01 02:00:00,2020-01-06 05:00:00,06-01-20 5:15,Pune,127,ASSAULT,62,F,UNKNOWN,Violent Crime,10,No,,0,,Senior
126,127,2020-07-01 07:00:00,2020-01-06 06:00:00,07-01-20 0:44,Surat,117,FIREARM OFFENSE,42,F,UNKNOWN,Fire Accident,8,No,,0,,Adult
127,128,2020-07-01 04:00:00,2020-01-06 07:00:00,07-01-20 2:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-01-04 04:00:00,1,-179.0,Senior
130,131,2020-08-01 13:00:00,2020-01-06 10:00:00,06-01-20 19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,0,,Minor
131,132,2020-07-01 04:00:00,2020-01-06 11:00:00,07-01-20 6:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,0,,Adult
133,134,2020-06-01 22:00:00,2020-01-06 13:00:00,07-01-20 0:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,0,,Senior
134,135,2020-06-01 18:00:00,2020-01-06 14:00:00,07-01-20 7:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,0,,Middle Aged
135,136,2020-09-01 07:00:00,2020-01-06 15:00:00,07-01-20 2:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,0,,Senior
136,137,2020-07-01 23:00:00,2020-01-06 16:00:00,07-01-20 1:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23 23:00:00,1,-160.0,Adult
138,139,2020-08-01 17:00:00,2020-01-06 18:00:00,07-01-20 7:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,0,,Middle Aged
139,140,2020-08-01 16:00:00,2020-01-06 19:00:00,07-01-20 1:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-06-02 16:00:00,1,-60.0,Middle Aged
140,141,2020-08-01 13:00:00,2020-01-06 20:00:00,07-01-20 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,0,,Senior
141,142,2020-07-01 23:00:00,2020-01-06 21:00:00,07-01-20 6:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27 23:00:00,1,-96.0,Adult
142,143,2020-07-01 09:00:00,2020-01-06 22:00:00,07-01-20 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,UNKNOWN,Other Crime,2,No,,0,,Adult
143,144,2020-07-01 06:00:00,2020-01-06 23:00:00,07-01-20 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-04-02 06:00:00,1,-90.0,Senior
145,146,2020-08-01 01:00:00,2020-01-07 01:00:00,07-01-20 16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,0,,Minor
146,147,2020-07-01 16:00:00,2020-01-07 02:00:00,07-01-20 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26 16:00:00,1,-157.0,Adult
147,148,2020-07-01 16:00:00,2020-01-07 03:00:00,07-01-20 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,0,,Young Adult
148,149,2020-07-01 06:00:00,2020-01-07 04:00:00,08-01-20 1:09,Agra,558,IDENTITY THEFT,41,F,UNKNOWN,Violent Crime,5,Yes,2020-02-27 06:00:00,1,-125.0,Adult
149,150,2020-07-01 08:00:00,2020-01-07 05:00:00,07-01-20 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,2020-03-04 08:00:00,1,-119.0,Middle Aged
150,151,2020-08-01 08:00:00,2020-01-07 06:00:00,07-01-20 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,2020-03-27 08:00:00,1,-127.0,Adult
152,153,2020-08-01 01:00:00,2020-01-07 08:00:00,07-01-20 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,0,,Young Adult
153,154,2020-09-01 16:00:00,2020-01-07 09:00:00,07-01-20 19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,,0,,Adult
154,155,2020-10-01 06:00:00,2020-01-07 10:00:00,07-01-20 19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,,0,,Middle Aged
155,156,2020-10-01 05:00:00,2020-01-07 11:00:00,07-01-20 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,2020-02-04 05:00:00,1,-240.0,Senior
156,157,2020-07-01 13:00:00,2020-01-07 12:00:00,07-01-20 13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,,0,,Adult
157,158,2020-08-01 16:00:00,2020-01-07 13:00:00,08-01-20 3:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,,0,,Young Adult
158,159,2020-09-01 18:00:00,2020-01-07 14:00:00,08-01-20 6:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,2020-08-02 18:00:00,1,-30.0,Adult
159,160,2020-07-01 19:00:00,2020-01-07 15:00:00,08-01-20 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,2020-03-22 19:00:00,1,-101.0,Young Adult
160,161,2020-09-01 03:00:00,2020-01-07 16:00:00,08-01-20 9:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,2020-02-19 03:00:00,1,-195.0,Young Adult
161,162,2020-07-01 21:00:00,2020-01-07 17:00:00,07-01-20 17:22,Surat,420,CYBERCRIME,17,F,UNKNOWN,Other Crime,12,No,,0,,Minor
162,163,2020-09-01 16:00:00,2020-01-07 18:00:00,08-01-20 9:50,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,,0,,Adult
163,164,2020-08-01 20:00:00,2020-01-07 19:00:00,08-01-20 2:04,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,,0,,Senior
164,165,2020-10-01 00:00:00,2020-01-07 20:00:00,08-01-20 6:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,2020-12-23 00:00:00,1,83.0,Minor
167,168,2020-08-01 22:00:00,2020-01-07 23:00:00,08-01-20 2:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,2020-04-03 22:00:00,1,-120.0,Minor
168,169,2020-08-01 16:00:00,2020-01-08 00:00:00,08-01-20 0:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,,0,,Young Adult
169,170,2020-10-01 07:00:00,2020-01-08 01:00:00,08-01-20 5:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,2020-01-17 07:00:00,1,-258.0,Young Adult
172,173,2020-11-01 03:00:00,2020-01-08 04:00:00,08-01-20 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,2021-10-29 03:00:00,1,362.0,Middle Aged
173,174,2020-09-01 20:00:00,2020-01-08 05:00:00,09-01-20 1:34,Indore,438,DRUG OFFENSE,40,F,UNKNOWN,Other Crime,7,No,,0,,Adult
175,176,2020-09-01 23:00:00,2020-01-08 07:00:00,08-01-20 22:06,Lucknow,292,BURGLARY,66,F,UNKNOWN,Other Crime,14,Yes,2020-06-28 23:00:00,1,-65.0,Senior
176,177,2020-08-01 14:00:00,2020-01-08 08:00:00,09-01-20 2:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,2020-03-21 14:00:00,1,-133.0,Young Adult
177,178,2020-09-01 15:00:00,2020-01-08 09:00:00,08-01-20 16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,UNKNOWN,Other Crime,11,No,,0,,Middle Aged
178,179,2020-10-01 12:00:00,2020-01-08 10:00:00,09-01-20 7:31,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,,0,,Adult
180,181,2020-10-01 18:00:00,2020-01-08 12:00:00,09-01-20 7:34,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,,0,,Young Adult
181,182,2020-10-01 13:00:00,2020-01-08 13:00:00,09-01-20 12:16,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,,0,,Middle Aged
182,183,2020-10-01 09:00:00,2020-01-08 14:00:00,08-01-20 17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,2021-09-05 09:00:00,1,339.0,Young Adult
183,184,2020-10-01 04:00:00,2020-01-08 15:00:00,08-01-20 23:28,Hyderabad,422,SEXUAL ASSAULT,27,F,UNKNOWN,Violent Crime,4,No,,0,,Young Adult
184,185,2020-08-01 19:00:00,2020-01-08 16:00:00,08-01-20 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,2020-03-03 19:00:00,1,-151.0,Senior
185,186,2020-11-01 15:00:00,2020-01-08 17:00:00,09-01-20 8:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,2020-12-03 15:00:00,1,32.0,Senior
186,187,2020-09-01 09:00:00,2020-01-08 18:00:00,09-01-20 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,2020-02-13 09:00:00,1,-201.0,Senior
187,188,2020-09-01 18:00:00,2020-01-08 19:00:00,09-01-20 18:53,Nagpur,236,IDENTITY THEFT,66,F,UNKNOWN,Violent Crime,14,Yes,2020-03-15 18:00:00,1,-170.0,Senior
188,189,2020-09-01 04:00:00,2020-01-08 20:00:00,09-01-20 3:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,2020-03-23 04:00:00,1,-162.0,Young Adult
190,191,2020-09-01 15:00:00,2020-01-08 22:00:00,09-01-20 15:53,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,,0,,Senior
192,193,2020-10-01 20:00:00,2020-01-09 00:00:00,09-01-20 5:28,Ghaziabad,249,PUBLIC INTOXICATION,19,F,UNKNOWN,Other Crime,3,No,,0,,Young Adult
194,195,2020-11-01 16:00:00,2020-01-09 02:00:00,09-01-20 8:16,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,No,,0,,Adult
197,198,2020-11-01 17:00:00,2020-01-09 05:00:00,09-01-20 10:20,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,2020-01-22 17:00:00,1,-284.0,Young Adult
198,199,2020-10-01 09:00:00,2020-01-09 06:00:00,09-01-20 21:01,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,No,,0,,Senior
199,200,2020-11-01 13:00:00,2020-01-09 07:00:00,10-01-20 2:06,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,No,,0,,Middle Aged
