,report_number,date_reported,date_of_occurrence,city,crime_domain,crime_description,victim_age,victim_age_group,victim_gender,weapon_used,police_deployed,case_closed_flag,case_resolution_days
18,19,2020-02-01 20:00:00,2020-01-01 18:00:00,Bangalore,Other Crime,CYBERCRIME,11,Minor,M,UNKNOWN,3,1,-8.0
19,20,2020-03-01 18:00:00,2020-01-01 19:00:00,Bangalore,Other Crime,EXTORTION,62,Senior,F,Blunt Object,2,1,63.0
20,21,2020-03-01 22:00:00,2020-01-01 20:00:00,Hyderabad,Traffic Fatality,TRAFFIC VIOLATION,50,Middle Aged,F,Poison,14,1,-39.0
21,22,2020-03-01 12:00:00,2020-01-01 21:00:00,Mumbai,Other Crime,VANDALISM,64,Senior,F,Other,15,1,2.0
22,23,2020-02-01 10:00:00,2020-01-01 22:00:00,Jaipur,Other Crime,SHOPLIFTING,69,Senior,F,Blunt Object,13,0,
23,24,2020-03-01 09:00:00,2020-01-01 23:00:00,Chennai,Other Crime,VANDALISM,77,Senior,F,Other,18,0,
24,25,2020-03-01 01:00:00,2020-01-02 00:00:00,Bangalore,Other Crime,DRUG OFFENSE,18,Young Adult,F,Other,1,0,
25,26,2020-02-01 16:00:00,2020-01-02 01:00:00,Jaipur,Violent Crime,ASSAULT,60,Middle Aged,M,Firearm,15,1,306.0
26,27,2020-02-01 06:00:00,2020-01-02 02:00:00,Pune,Violent Crime,IDENTITY THEFT,49,Middle Aged,M,Blunt Object,13,0,
27,28,2020-02-01 15:00:00,2020-01-02 03:00:00,Lucknow,Other Crime,PUBLIC INTOXICATION,41,Adult,F,UNKNOWN,7,0,
28,29,2020-04-01 14:00:00,2020-01-02 04:00:00,Bangalore,Other Crime,VANDALISM,33,Adult,F,Explosives,19,0,
29,30,2020-04-01 23:00:00,2020-01-02 05:00:00,Bhopal,Other Crime,BURGLARY,37,Adult,F,UNKNOWN,4,0,
30,31,2020-03-01 07:00:00,2020-01-02 06:00:00,Bhopal,Other Crime,HOMICIDE,32,Adult,F,Explosives,13,0,
31,32,2020-04-01 13:00:00,2020-01-02 07:00:00,Hyderabad,Other Crime,VANDALISM,60,Middle Aged,M,Knife,3,1,-14.0
32,33,2020-03-01 04:00:00,2020-01-02 08:00:00,Delhi,Other Crime,ILLEGAL POSSESSION,73,Senior,F,Knife,19,0,
33,34,2020-05-01 07:00:00,2020-01-02 09:00:00,Patna,Violent Crime,VEHICLE - STOLEN,24,Young Adult,F,Explosives,6,0,
34,35,2020-04-01 21:00:00,2020-01-02 10:00:00,Kanpur,Other Crime,VANDALISM,34,Adult,F,Other,14,0,
35,36,2020-04-01 21:00:00,2020-01-02 11:00:00,Chennai,Other Crime,COUNTERFEITING,32,Adult,F,Blunt Object,11,0,
36,37,2020-03-01 05:00:00,2020-01-02 12:00:00,Lucknow,Violent Crime,SEXUAL ASSAULT,33,Adult,F,Blunt Object,9,1,-23.0
37,38,2020-04-01 05:00:00,2020-01-02 13:00:00,Varanasi,Other Crime,SHOPLIFTING,22,Young Adult,F,Explosives,14,0,
38,39,2020-03-01 23:00:00,2020-01-02 14:00:00,Surat,Violent Crime,VEHICLE - STOLEN,32,Adult,F,UNKNOWN,13,1,247.0
39,40,2020-03-01 02:00:00,2020-01-02 15:00:00,Mumbai,Other Crime,FRAUD,69,Senior,F,Explosives,10,1,-46.0
40,41,2020-05-01 01:00:00,2020-01-02 16:00:00,Visakhapatnam,Other Crime,HOMICIDE,28,Young Adult,F,Firearm,2,0,
41,42,2020-03-01 11:00:00,2020-01-02 17:00:00,Surat,Other Crime,ILLEGAL POSSESSION,42,Adult,M,Blunt Object,6,0,
42,43,2020-03-01 03:00:00,2020-01-02 18:00:00,Delhi,Fire Accident,FIREARM OFFENSE,40,Adult,M,Poison,10,1,16.0
43,44,2020-04-01 07:00:00,2020-01-02 19:00:00,Mumbai,Violent Crime,SEXUAL ASSAULT,44,Adult,M,Other,7,0,
44,45,2020-05-01 19:00:00,2020-01-02 20:00:00,Kolkata,Fire Accident,ARSON,44,Adult,F,Blunt Object,10,1,214.0
45,46,2020-04-01 19:00:00,2020-01-02 21:00:00,Patna,Other Crime,DRUG OFFENSE,67,Senior,M,Knife,8,0,
46,47,2020-05-01 04:00:00,2020-01-02 22:00:00,Delhi,Violent Crime,ROBBERY,47,Middle Aged,F,UNKNOWN,9,0,
47,48,2020-05-01 17:00:00,2020-01-02 23:00:00,Lucknow,Fire Accident,FIREARM OFFENSE,38,Adult,F,Blunt Object,14,1,-48.0
48,49,2020-05-01 19:00:00,2020-01-03 00:00:00,Jaipur,Other Crime,ILLEGAL POSSESSION,77,Senior,F,Firearm,17,0,
49,50,2020-03-01 13:00:00,2020-01-03 01:00:00,Hyderabad,Other Crime,DRUG OFFENSE,37,Adult,F,Blunt Object,7,0,
50,51,2020-03-01 05:00:00,2020-01-03 02:00:00,Nagpur,Other Crime,BURGLARY,54,Middle Aged,F,Other,12,1,43.0
51,52,2020-05-01 12:00:00,2020-01-03 03:00:00,Kolkata,Other Crime,BURGLARY,38,Adult,F,Blunt Object,5,1,-17.0
52,53,2020-05-01 00:00:00,2020-01-03 04:00:00,Ghaziabad,Other Crime,PUBLIC INTOXICATION,29,Young Adult,M,Poison,15,1,-102.0
53,54,2020-05-01 10:00:00,2020-01-03 05:00:00,Delhi,Other Crime,BURGLARY,75,Senior,M,Explosives,2,0,
54,55,2020-06-01 02:00:00,2020-01-03 06:00:00,Pune,Fire Accident,FIREARM OFFENSE,61,Senior,F,Poison,5,0,
55,56,2020-04-01 04:00:00,2020-01-03 07:00:00,Meerut,Other Crime,BURGLARY,49,Middle Aged,F,UNKNOWN,19,0,
56,57,2020-06-01 01:00:00,2020-01-03 08:00:00,Kanpur,Violent Crime,SEXUAL ASSAULT,67,Senior,F,Firearm,8,1,49.0
57,58,2020-03-01 18:00:00,2020-01-03 09:00:00,Ahmedabad,Violent Crime,ASSAULT,70,Senior,F,UNKNOWN,15,0,
58,59,2020-04-01 14:00:00,2020-01-03 10:00:00,Chennai,Traffic Fatality,TRAFFIC VIOLATION,75,Senior,F,Blunt Object,16,0,
59,60,2020-05-01 18:00:00,2020-01-03 11:00:00,Thane,Other Crime,SHOPLIFTING,53,Middle Aged,F,Other,6,1,-31.0
60,61,2020-03-01 22:00:00,2020-01-03 12:00:00,Mumbai,Other Crime,SHOPLIFTING,16,Minor,M,Poison,10,0,
61,62,2020-05-01 21:00:00,2020-01-03 13:00:00,Surat,Other Crime,DRUG OFFENSE,30,Young Adult,M,Explosives,9,1,124.0
62,63,2020-03-01 20:00:00,2020-01-03 14:00:00,Chennai,Other Crime,FRAUD,56,Middle Aged,M,Explosives,5,1,14.0
63,64,2020-06-01 06:00:00,2020-01-03 15:00:00,Thane,Other Crime,ILLEGAL POSSESSION,19,Young Adult,F,Blunt Object,16,1,-73.0
64,65,2020-05-01 18:00:00,2020-01-03 16:00:00,Visakhapatnam,Other Crime,DRUG OFFENSE,58,Middle Aged,F,Explosives,19,0,
65,66,2020-06-01 14:00:00,2020-01-03 17:00:00,Lucknow,Other Crime,EXTORTION,45,Adult,F,Other,3,1,-78.0
66,67,2020-03-01 21:00:00,2020-01-03 18:00:00,Bhopal,Other Crime,CYBERCRIME,25,Young Adult,M,UNKNOWN,6,0,
67,68,2020-04-01 20:00:00,2020-01-03 19:00:00,Visakhapatnam,Other Crime,BURGLARY,22,Young Adult,M,Knife,17,1,-56.0
68,69,2020-06-01 09:00:00,2020-01-03 20:00:00,Hyderabad,Other Crime,PUBLIC INTOXICATION,59,Middle Aged,F,Explosives,8,1,-136.0
69,70,2020-06-01 12:00:00,2020-01-03 21:00:00,Visakhapatnam,Fire Accident,FIREARM OFFENSE,31,Adult,F,Firearm,1,0,
70,71,2020-06-01 20:00:00,2020-01-03 22:00:00,Kolkata,Fire Accident,FIREARM OFFENSE,58,Middle Aged,F,Poison,6,0,
71,72,2020-05-01 18:00:00,2020-01-03 23:00:00,Nagpur,Fire Accident,ARSON,53,Middle Aged,F,Knife,1,1,-39.0
72,73,2020-05-01 21:00:00,2020-01-04 00:00:00,Lucknow,Other Crime,BURGLARY,35,Adult,F,Blunt Object,2,0,
73,74,2020-06-01 05:00:00,2020-01-04 01:00:00,Chennai,Fire Accident,ARSON,36,Adult,M,Firearm,5,1,-133.0
74,75,2020-05-01 02:00:00,2020-01-04 02:00:00,Ahmedabad,Other Crime,CYBERCRIME,70,Senior,F,Knife,18,0,
75,76,2020-06-01 00:00:00,2020-01-04 03:00:00,Delhi,Other Crime,VANDALISM,52,Middle Aged,M,Explosives,7,1,-127.0
76,77,2020-04-01 22:00:00,2020-01-04 04:00:00,Mumbai,Other Crime,KIDNAPPING,25,Young Adult,F,Explosives,14,0,
77,78,2020-05-01 21:00:00,2020-01-04 05:00:00,Indore,Violent Crime,IDENTITY THEFT,58,Middle Aged,F,Knife,10,1,-33.0
78,79,2020-05-01 20:00:00,2020-01-04 06:00:00,Mumbai,Violent Crime,ROBBERY,39,Adult,F,Poison,4,0,
79,80,2020-07-01 03:00:00,2020-01-04 07:00:00,Visakhapatnam,Violent Crime,VEHICLE - STOLEN,54,Middle Aged,F,UNKNOWN,15,1,-168.0
80,81,2020-05-01 03:00:00,2020-01-04 08:00:00,Delhi,Violent Crime,ASSAULT,61,Senior,F,Knife,10,1,-28.0
81,82,2020-06-01 05:00:00,2020-01-04 09:00:00,Jaipur,Other Crime,FRAUD,16,Minor,F,Explosives,17,0,
82,83,2020-06-01 12:00:00,2020-01-04 10:00:00,Mumbai,Violent Crime,ROBBERY,25,Young Adult,F,Firearm,14,1,-72.0
83,84,2020-04-01 19:00:00,2020-01-04 11:00:00,Kolkata,Traffic Fatality,TRAFFIC VIOLATION,72,Senior,F,Blunt Object,9,1,-72.0
84,85,2020-05-01 18:00:00,2020-01-04 12:00:00,Lucknow,Other Crime,PUBLIC INTOXICATION,48,Middle Aged,M,Firearm,3,0,
85,86,2020-06-01 17:00:00,2020-01-04 13:00:00,Mumbai,Other Crime,VANDALISM,22,Young Adult,M,Other,5,1,155.0
86,87,2020-07-01 06:00:00,2020-01-04 14:00:00,Lucknow,Other Crime,PUBLIC INTOXICATION,30,Young Adult,F,Firearm,10,1,-165.0
87,88,2020-07-01 03:00:00,2020-01-04 15:00:00,Rajkot,Violent Crime,ROBBERY,11,Minor,F,Firearm,1,0,
88,89,2020-06-01 22:00:00,2020-01-04 16:00:00,Mumbai,Other Crime,HOMICIDE,16,Minor,F,Knife,6,0,
89,90,2020-06-01 18:00:00,2020-01-04 17:00:00,Hyderabad,Violent Crime,VEHICLE - STOLEN,73,Senior,F,Blunt Object,12,0,
90,91,2020-05-01 04:00:00,2020-01-04 18:00:00,Kolkata,Other Crime,BURGLARY,72,Senior,F,Poison,9,0,
91,92,2020-04-01 20:00:00,2020-01-04 19:00:00,Jaipur,Other Crime,CYBERCRIME,60,Middle Aged,F,UNKNOWN,7,0,
92,93,2020-05-01 16:00:00,2020-01-04 20:00:00,Hyderabad,Other Crime,FRAUD,53,Middle Aged,M,UNKNOWN,13,1,-118.0
93,94,2020-06-01 21:00:00,2020-01-04 21:00:00,Mumbai,Violent Crime,SEXUAL ASSAULT,42,Adult,F,Firearm,3,0,
94,95,2020-06-01 08:00:00,2020-01-04 22:00:00,Vasai,Other Crime,PUBLIC INTOXICATION,10,Minor,M,Firearm,11,0,
95,96,2020-06-01 08:00:00,2020-01-04 23:00:00,Hyderabad,Other Crime,DRUG OFFENSE,51,Middle Aged,F,Blunt Object,7,0,
96,97,2020-06-01 02:00:00,2020-01-05 00:00:00,Nagpur,Violent Crime,IDENTITY THEFT,26,Young Adult,F,Explosives,5,1,184.0
97,98,2020-06-01 17:00:00,2020-01-05 01:00:00,Kolkata,Violent Crime,SEXUAL ASSAULT,71,Senior,M,Blunt Object,6,0,
98,99,2020-06-01 23:00:00,2020-01-05 02:00:00,Hyderabad,Violent Crime,IDENTITY THEFT,74,Senior,F,Explosives,15,1,-130.0
99,100,2020-06-01 20:00:00,2020-01-05 03:00:00,Hyderabad,Other Crime,DRUG OFFENSE,13,Minor,F,Other,13,1,-131.0
100,101,2020-06-01 23:00:00,2020-01-05 04:00:00,Ahmedabad,Other Crime,PUBLIC INTOXICATION,50,Middle Aged,F,Knife,1,1,-139.0
101,102,2020-05-01 16:00:00,2020-01-05 05:00:00,Mumbai,Other Crime,EXTORTION,69,Senior,F,Explosives,18,0,
102,103,2020-07-01 00:00:00,2020-01-05 06:00:00,Kanpur,Violent Crime,ASSAULT,34,Adult,F,Other,6,0,
103,104,2020-07-01 16:00:00,2020-01-05 07:00:00,Mumbai,Violent Crime,VEHICLE - STOLEN,38,Adult,F,Poison,14,1,-133.0
104,105,2020-06-01 23:00:00,2020-01-05 08:00:00,Lucknow,Other Crime,FRAUD,44,Adult,F,Blunt Object,16,0,
105,106,2020-06-01 00:00:00,2020-01-05 09:00:00,Hyderabad,Violent Crime,VEHICLE - STOLEN,69,Senior,F,UNKNOWN,12,1,-100.0
106,107,2020-05-01 11:00:00,2020-01-05 10:00:00,Lucknow,Violent Crime,DOMESTIC VIOLENCE,12,Minor,F,Blunt Object,1,0,
107,108,2020-07-01 12:00:00,2020-01-05 11:00:00,Bangalore,Fire Accident,ARSON,21,Young Adult,F,Poison,3,1,63.0
108,109,2020-07-01 20:00:00,2020-01-05 12:00:00,Chennai,Other Crime,PUBLIC INTOXICATION,55,Middle Aged,F,Blunt Object,8,0,
109,110,2020-05-01 17:00:00,2020-01-05 13:00:00,Delhi,Fire Accident,ARSON,15,Minor,F,Other,9,0,
110,111,2020-07-01 04:00:00,2020-01-05 14:00:00,Visakhapatnam,Other Crime,ILLEGAL POSSESSION,58,Middle Aged,F,Explosives,5,1,-136.0
111,112,2020-08-01 05:00:00,2020-01-05 15:00:00,Delhi,Other Crime,COUNTERFEITING,37,Adult,F,UNKNOWN,6,0,
112,113,2020-07-01 09:00:00,2020-01-05 16:00:00,Bangalore,Other Crime,HOMICIDE,49,Middle Aged,F,Knife,7,1,406.0
113,114,2020-06-01 15:00:00,2020-01-05 17:00:00,Surat,Other Crime,EXTORTION,30,Young Adult,M,Poison,5,0,
114,115,2020-07-01 13:00:00,2020-01-05 18:00:00,Pune,Fire Accident,FIREARM OFFENSE,50,Middle Aged,F,Blunt Object,15,1,-121.0
115,116,2020-05-01 20:00:00,2020-01-05 19:00:00,Mumbai,Other Crime,BURGLARY,64,Senior,F,Knife,10,0,
116,117,2020-07-01 04:00:00,2020-01-05 20:00:00,Lucknow,Other Crime,VANDALISM,43,Adult,M,Poison,14,1,-110.0
117,118,2020-06-01 20:00:00,2020-01-05 21:00:00,Delhi,Other Crime,DRUG OFFENSE,32,Adult,M,Explosives,13,1,-63.0
118,119,2020-07-01 19:00:00,2020-01-05 22:00:00,Mumbai,Other Crime,ILLEGAL POSSESSION,14,Minor,M,Poison,3,1,-125.0
119,120,2020-07-01 02:00:00,2020-01-05 23:00:00,Pune,Traffic Fatality,TRAFFIC VIOLATION,70,Senior,M,UNKNOWN,3,1,-156.0
120,121,2020-07-01 14:00:00,2020-01-06 00:00:00,Ahmedabad,Violent Crime,VEHICLE - STOLEN,78,Senior,F,Firearm,10,1,-161.0
121,122,2020-08-01 19:00:00,2020-01-06 01:00:00,Delhi,Other Crime,KIDNAPPING,22,Young Adult,F,Other,19,1,-58.0
122,123,2020-06-01 04:00:00,2020-01-06 02:00:00,Bhopal,Other Crime,VANDALISM,60,Middle Aged,F,UNKNOWN,4,0,
123,124,2020-08-01 23:00:00,2020-01-06 03:00:00,Ludhiana,Violent Crime,SEXUAL ASSAULT,44,Adult,F,Blunt Object,2,0,
124,125,2020-09-01 00:00:00,2020-01-06 04:00:00,Pune,Other Crime,FRAUD,30,Young Adult,M,Knife,14,0,
125,126,2020-09-01 02:00:00,2020-01-06 05:00:00,Pune,Violent Crime,ASSAULT,62,Senior,F,UNKNOWN,10,0,
126,127,2020-07-01 07:00:00,2020-01-06 06:00:00,Surat,Fire Accident,FIREARM OFFENSE,42,Adult,F,UNKNOWN,8,0,
127,128,2020-07-01 04:00:00,2020-01-06 07:00:00,Ghaziabad,Violent Crime,IDENTITY THEFT,73,Senior,F,Knife,2,1,-179.0
128,129,2020-09-01 04:00:00,2020-01-06 08:00:00,Kanpur,Other Crime,SHOPLIFTING,25,Young Adult,M,Explosives,15,0,
129,130,2020-08-01 14:00:00,2020-01-06 09:00:00,Ghaziabad,Violent Crime,ROBBERY,33,Adult,M,Other,3,1,-73.0
130,131,2020-08-01 13:00:00,2020-01-06 10:00:00,Agra,Fire Accident,ARSON,13,Minor,F,Poison,19,0,
131,132,2020-07-01 04:00:00,2020-01-06 11:00:00,Lucknow,Violent Crime,IDENTITY THEFT,39,Adult,F,Knife,8,0,
132,133,2020-06-01 23:00:00,2020-01-06 12:00:00,Bangalore,Other Crime,HOMICIDE,18,Young Adult,M,UNKNOWN,2,0,
133,134,2020-06-01 22:00:00,2020-01-06 13:00:00,Lucknow,Other Crime,ILLEGAL POSSESSION,75,Senior,F,Knife,8,0,
134,135,2020-06-01 18:00:00,2020-01-06 14:00:00,Delhi,Other Crime,VANDALISM,50,Middle Aged,F,Other,15,0,
135,136,2020-09-01 07:00:00,2020-01-06 15:00:00,Delhi,Other Crime,FRAUD,71,Senior,F,Other,7,0,
136,137,2020-07-01 23:00:00,2020-01-06 16:00:00,Ahmedabad,Other Crime,PUBLIC INTOXICATION,38,Adult,F,Explosives,12,1,-160.0
137,138,2020-08-01 12:00:00,2020-01-06 17:00:00,Mumbai,Violent Crime,ASSAULT,12,Minor,M,Blunt Object,6,0,
138,139,2020-08-01 17:00:00,2020-01-06 18:00:00,Kanpur,Other Crime,KIDNAPPING,57,Middle Aged,F,Other,2,0,
139,140,2020-08-01 16:00:00,2020-01-06 19:00:00,Jaipur,Other Crime,CYBERCRIME,47,Middle Aged,F,Firearm,16,1,-60.0
140,141,2020-08-01 13:00:00,2020-01-06 20:00:00,Delhi,Violent Crime,DOMESTIC VIOLENCE,73,Senior,F,Other,14,0,
141,142,2020-07-01 23:00:00,2020-01-06 21:00:00,Mumbai,Fire Accident,FIREARM OFFENSE,41,Adult,F,Blunt Object,4,1,-96.0
142,143,2020-07-01 09:00:00,2020-01-06 22:00:00,Mumbai,Other Crime,ILLEGAL POSSESSION,45,Adult,F,UNKNOWN,2,0,
143,144,2020-07-01 06:00:00,2020-01-06 23:00:00,Varanasi,Violent Crime,ASSAULT,79,Senior,F,Firearm,14,1,-90.0
144,145,2020-08-01 20:00:00,2020-01-07 00:00:00,Ludhiana,Violent Crime,IDENTITY THEFT,17,Minor,M,Firearm,10,0,
145,146,2020-08-01 01:00:00,2020-01-07 01:00:00,Kolkata,Other Crime,PUBLIC INTOXICATION,15,Minor,F,Knife,16,0,
146,147,2020-07-01 16:00:00,2020-01-07 02:00:00,Meerut,Other Crime,CYBERCRIME,44,Adult,F,Other,6,1,-157.0
147,148,2020-07-01 16:00:00,2020-01-07 03:00:00,Bangalore,Other Crime,COUNTERFEITING,28,Young Adult,F,Knife,8,0,
148,149,2020-07-01 06:00:00,2020-01-07 04:00:00,Agra,Violent Crime,IDENTITY THEFT,41,Adult,F,UNKNOWN,5,1,-125.0
149,150,2020-07-01 08:00:00,2020-01-07 05:00:00,Patna,Other Crime,SHOPLIFTING,46,Middle Aged,F,Knife,1,1,-119.0
150,151,2020-08-01 08:00:00,2020-01-07 06:00:00,Bhopal,Other Crime,DRUG OFFENSE,35,Adult,F,Blunt Object,3,1,-127.0
151,152,2020-07-01 08:00:00,2020-01-07 07:00:00,Bangalore,Other Crime,ILLEGAL POSSESSION,67,Senior,M,UNKNOWN,16,0,
152,153,2020-08-01 01:00:00,2020-01-07 08:00:00,Delhi,Violent Crime,IDENTITY THEFT,23,Young Adult,F,Knife,16,0,
153,154,2020-09-01 16:00:00,2020-01-07 09:00:00,Chennai,Other Crime,KIDNAPPING,39,Adult,F,Other,11,0,
154,155,2020-10-01 06:00:00,2020-01-07 10:00:00,Bangalore,Violent Crime,DOMESTIC VIOLENCE,48,Middle Aged,F,Blunt Object,5,0,
155,156,2020-10-01 05:00:00,2020-01-07 11:00:00,Pune,Violent Crime,DOMESTIC VIOLENCE,71,Senior,F,Blunt Object,14,1,-240.0
156,157,2020-07-01 13:00:00,2020-01-07 12:00:00,Hyderabad,Other Crime,COUNTERFEITING,32,Adult,F,Other,8,0,
157,158,2020-08-01 16:00:00,2020-01-07 13:00:00,Ahmedabad,Other Crime,HOMICIDE,18,Young Adult,F,Firearm,13,0,
158,159,2020-09-01 18:00:00,2020-01-07 14:00:00,Delhi,Violent Crime,VEHICLE - STOLEN,38,Adult,F,Poison,15,1,-30.0
159,160,2020-07-01 19:00:00,2020-01-07 15:00:00,Kolkata,Violent Crime,ASSAULT,27,Young Adult,F,Blunt Object,17,1,-101.0
160,161,2020-09-01 03:00:00,2020-01-07 16:00:00,Meerut,Other Crime,COUNTERFEITING,30,Young Adult,F,Knife,13,1,-195.0
161,162,2020-07-01 21:00:00,2020-01-07 17:00:00,Surat,Other Crime,CYBERCRIME,17,Minor,F,UNKNOWN,12,0,
162,163,2020-09-01 16:00:00,2020-01-07 18:00:00,Pune,Other Crime,SHOPLIFTING,39,Adult,F,Knife,15,0,
163,164,2020-08-01 20:00:00,2020-01-07 19:00:00,Pune,Fire Accident,ARSON,66,Senior,F,Firearm,5,0,
164,165,2020-10-01 00:00:00,2020-01-07 20:00:00,Ghaziabad,Violent Crime,SEXUAL ASSAULT,11,Minor,F,Firearm,9,1,83.0
165,166,2020-10-01 14:00:00,2020-01-07 21:00:00,Ahmedabad,Other Crime,VANDALISM,54,Middle Aged,M,Firearm,19,1,2.0
166,167,2020-08-01 16:00:00,2020-01-07 22:00:00,Delhi,Other Crime,VANDALISM,79,Senior,M,Explosives,13,1,-187.0
167,168,2020-08-01 22:00:00,2020-01-07 23:00:00,Delhi,Other Crime,FRAUD,12,Minor,F,Firearm,3,1,-120.0
168,169,2020-08-01 16:00:00,2020-01-08 00:00:00,Lucknow,Other Crime,DRUG OFFENSE,19,Young Adult,F,Blunt Object,16,0,
169,170,2020-10-01 07:00:00,2020-01-08 01:00:00,Kalyan,Traffic Fatality,TRAFFIC VIOLATION,21,Young Adult,F,Knife,8,1,-258.0
170,171,2020-09-01 11:00:00,2020-01-08 02:00:00,Agra,Other Crime,COUNTERFEITING,24,Young Adult,M,UNKNOWN,14,1,63.0
171,172,2020-08-01 15:00:00,2020-01-08 03:00:00,Jaipur,Traffic Fatality,TRAFFIC VIOLATION,58,Middle Aged,M,Poison,4,0,
172,173,2020-11-01 03:00:00,2020-01-08 04:00:00,Hyderabad,Violent Crime,SEXUAL ASSAULT,51,Middle Aged,F,Blunt Object,17,1,362.0
173,174,2020-09-01 20:00:00,2020-01-08 05:00:00,Indore,Other Crime,DRUG OFFENSE,40,Adult,F,UNKNOWN,7,0,
174,175,2020-09-01 00:00:00,2020-01-08 06:00:00,Surat,Violent Crime,ROBBERY,64,Senior,M,Blunt Object,13,1,-78.0
175,176,2020-09-01 23:00:00,2020-01-08 07:00:00,Lucknow,Other Crime,BURGLARY,66,Senior,F,UNKNOWN,14,1,-65.0
176,177,2020-08-01 14:00:00,2020-01-08 08:00:00,Chennai,Fire Accident,FIREARM OFFENSE,28,Young Adult,F,Firearm,8,1,-133.0
177,178,2020-09-01 15:00:00,2020-01-08 09:00:00,Mumbai,Other Crime,ILLEGAL POSSESSION,54,Middle Aged,F,UNKNOWN,11,0,
178,179,2020-10-01 12:00:00,2020-01-08 10:00:00,Agra,Other Crime,FRAUD,42,Adult,F,Knife,8,0,
179,180,2020-10-01 01:00:00,2020-01-08 11:00:00,Pune,Violent Crime,DOMESTIC VIOLENCE,72,Senior,M,Blunt Object,14,1,-252.0
180,181,2020-10-01 18:00:00,2020-01-08 12:00:00,Bangalore,Traffic Fatality,TRAFFIC VIOLATION,23,Young Adult,F,Poison,1,0,
181,182,2020-10-01 13:00:00,2020-01-08 13:00:00,Mumbai,Other Crime,CYBERCRIME,53,Middle Aged,F,Poison,9,0,
182,183,2020-10-01 09:00:00,2020-01-08 14:00:00,Ahmedabad,Violent Crime,SEXUAL ASSAULT,28,Young Adult,F,Firearm,12,1,339.0
183,184,2020-10-01 04:00:00,2020-01-08 15:00:00,Hyderabad,Violent Crime,SEXUAL ASSAULT,27,Young Adult,F,UNKNOWN,4,0,
184,185,2020-08-01 19:00:00,2020-01-08 16:00:00,Mumbai,Other Crime,FRAUD,67,Senior,F,Other,19,1,-151.0
185,186,2020-11-01 15:00:00,2020-01-08 17:00:00,Bangalore,Other Crime,FRAUD,70,Senior,F,Other,8,1,32.0
186,187,2020-09-01 09:00:00,2020-01-08 18:00:00,Delhi,Other Crime,VANDALISM,75,Senior,F,Blunt Object,4,1,-201.0
187,188,2020-09-01 18:00:00,2020-01-08 19:00:00,Nagpur,Violent Crime,IDENTITY THEFT,66,Senior,F,UNKNOWN,14,1,-170.0
188,189,2020-09-01 04:00:00,2020-01-08 20:00:00,Hyderabad,Other Crime,EXTORTION,24,Young Adult,F,Knife,2,1,-162.0
